layer_names,pr
conv1,0.0
layer1.0.conv1,0.6942546
layer1.0.conv2,0.52072483
layer1.1.conv1,0.45629883
layer1.1.conv2,0.47181532
layer2.0.conv1,0.29722765
layer2.0.conv2,0.39518908
layer2.0.shortcut.0,0.26330566
layer2.1.conv1,0.52424455
layer2.1.conv2,0.49631077
layer3.0.conv1,0.16844685
layer3.0.conv2,0.25054085
layer3.0.shortcut.0,0.19580078
layer3.1.conv1,0.42486742
layer3.1.conv2,0.38727486
layer4.0.conv1,0.16687605
layer4.0.conv2,0.18186443
layer4.0.shortcut.0,0.16524506
layer4.1.conv1,0.18575627
layer4.1.conv2,0.53689235
linear,0.0
