layer_names,pr
conv1,0.0
layer1.0.conv1,0.5938585
layer1.0.conv2,0.41311306
layer1.1.conv1,0.38989258
layer1.1.conv2,0.5227051
layer2.0.conv1,0.35698783
layer2.0.conv2,0.4678955
layer2.0.shortcut.0,0.36791992
layer2.1.conv1,0.6759983
layer2.1.conv2,0.6777954
layer3.0.conv1,0.34665257
layer3.0.conv2,0.40410697
layer3.0.shortcut.0,0.28759766
layer3.1.conv1,0.5647786
layer3.1.conv2,0.55911255
layer4.0.conv1,0.35874176
layer4.0.conv2,0.3932656
layer4.0.shortcut.0,0.31478882
layer4.1.conv1,0.4022755
layer4.1.conv2,0.7865753
linear,0.0
