layer_names,pr
conv1,0.0
layer1.0.conv1,0.45391166
layer1.0.conv2,0.3162435
layer1.1.conv1,0.3154568
layer1.1.conv2,0.3959961
layer2.0.conv1,0.24458821
layer2.0.conv2,0.3573066
layer2.0.shortcut.0,0.29089355
layer2.1.conv1,0.6068115
layer2.1.conv2,0.6174045
layer3.0.conv1,0.2418891
layer3.0.conv2,0.2759586
layer3.0.shortcut.0,0.18753052
layer3.1.conv1,0.50987244
layer3.1.conv2,0.51397026
layer4.0.conv1,0.27988604
layer4.0.conv2,0.31434333
layer4.0.shortcut.0,0.21980286
layer4.1.conv1,0.30402163
layer4.1.conv2,0.63270783
linear,0.0
