Epoch,test accuracy,training accuracy
0,15.49,"(14.842, 7421, 50000)"
1,20.61,"(18.062, 9031, 50000)"
2,21.64,"(20.588, 10294, 50000)"
3,23.74,"(21.958, 10979, 50000)"
4,22.11,"(22.762, 11381, 50000)"
5,23.04,"(23.856, 11928, 50000)"
6,25.07,"(25.38, 12690, 50000)"
7,26.4,"(27.238, 13619, 50000)"
8,26.86,"(28.73, 14365, 50000)"
9,28.78,"(30.384, 15192, 50000)"
10,30.01,"(32.148, 16074, 50000)"
11,32.29,"(33.412, 16706, 50000)"
12,29.63,"(34.534, 17267, 50000)"
13,31.59,"(35.14, 17570, 50000)"
14,32.25,"(34.59, 17295, 50000)"
15,34.11,"(35.544, 17772, 50000)"
16,31.86,"(32.506, 16253, 50000)"
17,30.62,"(33.826, 16913, 50000)"
18,31.06,"(36.372, 18186, 50000)"
19,32.83,"(37.244, 18622, 50000)"
20,34.73,"(37.584, 18792, 50000)"
21,31.56,"(38.024, 19012, 50000)"
22,36.63,"(38.51, 19255, 50000)"
23,31.16,"(39.036, 19518, 50000)"
24,37.28,"(39.22, 19610, 50000)"
25,30.74,"(39.87, 19935, 50000)"
26,33.93,"(39.978, 19989, 50000)"
27,33.82,"(40.184, 20092, 50000)"
28,34.28,"(40.142, 20071, 50000)"
29,31.42,"(40.544, 20272, 50000)"
30,39.22,"(40.712, 20356, 50000)"
31,35.41,"(41.148, 20574, 50000)"
32,29.8,"(41.614, 20807, 50000)"
33,33.02,"(41.414, 20707, 50000)"
34,39.11,"(42.09, 21045, 50000)"
35,34.42,"(42.106, 21053, 50000)"
36,37.27,"(42.452, 21226, 50000)"
37,35.61,"(42.592, 21296, 50000)"
38,34.66,"(42.682, 21341, 50000)"
39,34.69,"(42.856, 21428, 50000)"
40,40.17,"(42.822, 21411, 50000)"
41,37.99,"(42.966, 21483, 50000)"
42,38.04,"(42.84, 21420, 50000)"
43,37.67,"(43.54, 21770, 50000)"
44,32.95,"(43.238, 21619, 50000)"
45,40.09,"(43.252, 21626, 50000)"
46,38.34,"(43.736, 21868, 50000)"
47,39.77,"(43.61, 21805, 50000)"
48,37.76,"(43.77, 21885, 50000)"
49,38.42,"(43.576, 21788, 50000)"
50,37.92,"(44.382, 22191, 50000)"
51,35.18,"(44.018, 22009, 50000)"
52,37.85,"(44.194, 22097, 50000)"
53,39.07,"(44.376, 22188, 50000)"
54,33.04,"(44.56, 22280, 50000)"
55,38.83,"(44.688, 22344, 50000)"
56,37.29,"(44.822, 22411, 50000)"
57,39.85,"(44.828, 22414, 50000)"
58,39.89,"(45.016, 22508, 50000)"
59,34.29,"(44.822, 22411, 50000)"
60,37.48,"(45.214, 22607, 50000)"
61,38.78,"(45.206, 22603, 50000)"
62,34.11,"(45.324, 22662, 50000)"
63,35.1,"(45.622, 22811, 50000)"
64,38.61,"(45.536, 22768, 50000)"
65,38.28,"(45.642, 22821, 50000)"
66,38.78,"(45.84, 22920, 50000)"
67,34.35,"(46.0, 23000, 50000)"
68,37.88,"(45.912, 22956, 50000)"
69,35.18,"(45.934, 22967, 50000)"
70,33.9,"(45.956, 22978, 50000)"
71,38.78,"(46.378, 23189, 50000)"
72,43.18,"(46.324, 23162, 50000)"
73,40.88,"(46.306, 23153, 50000)"
74,37.24,"(46.458, 23229, 50000)"
75,40.71,"(46.674, 23337, 50000)"
76,38.29,"(46.542, 23271, 50000)"
77,39.34,"(46.492, 23246, 50000)"
78,42.99,"(46.666, 23333, 50000)"
79,36.15,"(46.598, 23299, 50000)"
80,41.2,"(47.002, 23501, 50000)"
81,39.61,"(46.902, 23451, 50000)"
82,39.22,"(47.078, 23539, 50000)"
83,38.26,"(47.178, 23589, 50000)"
84,39.12,"(47.074, 23537, 50000)"
85,41.91,"(47.456, 23728, 50000)"
86,41.78,"(47.562, 23781, 50000)"
87,39.24,"(47.568, 23784, 50000)"
88,35.09,"(47.514, 23757, 50000)"
89,39.95,"(47.518, 23759, 50000)"
90,42.66,"(47.436, 23718, 50000)"
91,33.32,"(47.756, 23878, 50000)"
92,42.39,"(48.344, 24172, 50000)"
93,43.55,"(48.134, 24067, 50000)"
94,40.52,"(48.218, 24109, 50000)"
95,40.18,"(48.408, 24204, 50000)"
96,38.39,"(48.55, 24275, 50000)"
97,45.35,"(48.642, 24321, 50000)"
98,38.42,"(48.722, 24361, 50000)"
99,36.16,"(48.74, 24370, 50000)"
100,40.1,"(48.866, 24433, 50000)"
101,45.16,"(49.266, 24633, 50000)"
102,42.82,"(49.376, 24688, 50000)"
103,43.19,"(49.074, 24537, 50000)"
104,35.57,"(49.352, 24676, 50000)"
105,44.79,"(49.744, 24872, 50000)"
106,40.39,"(49.836, 24918, 50000)"
107,38.9,"(49.79, 24895, 50000)"
108,43.74,"(49.862, 24931, 50000)"
109,45.83,"(50.398, 25199, 50000)"
110,42.14,"(49.998, 24999, 50000)"
111,33.64,"(50.556, 25278, 50000)"
112,46.59,"(50.556, 25278, 50000)"
113,43.35,"(50.658, 25329, 50000)"
114,43.9,"(50.764, 25382, 50000)"
115,45.8,"(51.008, 25504, 50000)"
116,40.72,"(51.156, 25578, 50000)"
117,43.97,"(51.282, 25641, 50000)"
118,45.98,"(50.934, 25467, 50000)"
119,44.27,"(51.626, 25813, 50000)"
120,45.19,"(52.024, 26012, 50000)"
121,46.87,"(51.986, 25993, 50000)"
122,45.21,"(52.082, 26041, 50000)"
123,38.58,"(52.228, 26114, 50000)"
124,40.2,"(52.346, 26173, 50000)"
125,46.49,"(52.346, 26173, 50000)"
126,44.2,"(52.77, 26385, 50000)"
127,41.54,"(52.686, 26343, 50000)"
128,40.0,"(52.728, 26364, 50000)"
129,45.32,"(53.072, 26536, 50000)"
130,43.74,"(53.364, 26682, 50000)"
131,44.38,"(53.58, 26790, 50000)"
132,45.96,"(53.836, 26918, 50000)"
133,47.3,"(53.806, 26903, 50000)"
134,42.51,"(54.246, 27123, 50000)"
135,46.85,"(54.018, 27009, 50000)"
136,47.38,"(54.38, 27190, 50000)"
137,45.76,"(54.97, 27485, 50000)"
138,45.74,"(54.976, 27488, 50000)"
139,45.59,"(55.082, 27541, 50000)"
140,45.45,"(55.472, 27736, 50000)"
141,45.36,"(55.82, 27910, 50000)"
142,47.73,"(55.586, 27793, 50000)"
143,41.61,"(56.21, 28105, 50000)"
144,45.51,"(56.13, 28065, 50000)"
145,47.4,"(56.06, 28030, 50000)"
146,44.88,"(56.688, 28344, 50000)"
147,47.64,"(57.098, 28549, 50000)"
148,46.12,"(57.454, 28727, 50000)"
149,47.84,"(57.854, 28927, 50000)"
150,47.17,"(57.99, 28995, 50000)"
151,49.18,"(58.072, 29036, 50000)"
152,47.4,"(58.578, 29289, 50000)"
153,44.72,"(58.79, 29395, 50000)"
154,47.02,"(59.198, 29599, 50000)"
155,49.36,"(59.212, 29606, 50000)"
156,47.61,"(59.92, 29960, 50000)"
157,47.53,"(60.018, 30009, 50000)"
158,47.87,"(60.532, 30266, 50000)"
159,48.09,"(60.916, 30458, 50000)"
160,49.77,"(61.336, 30668, 50000)"
161,48.95,"(61.864, 30932, 50000)"
162,49.26,"(62.392, 31196, 50000)"
163,49.4,"(62.778, 31389, 50000)"
164,50.17,"(63.188, 31594, 50000)"
165,45.99,"(63.536, 31768, 50000)"
166,48.72,"(63.592, 31796, 50000)"
167,48.85,"(64.17, 32085, 50000)"
168,48.92,"(65.104, 32552, 50000)"
169,49.12,"(65.88, 32940, 50000)"
170,48.98,"(66.416, 33208, 50000)"
171,48.77,"(66.478, 33239, 50000)"
172,48.67,"(67.126, 33563, 50000)"
173,49.24,"(67.704, 33852, 50000)"
174,49.09,"(68.15, 34075, 50000)"
175,48.71,"(68.768, 34384, 50000)"
176,48.42,"(69.416, 34708, 50000)"
177,49.73,"(70.014, 35007, 50000)"
178,49.84,"(71.032, 35516, 50000)"
179,49.56,"(71.684, 35842, 50000)"
180,49.32,"(72.298, 36149, 50000)"
181,49.38,"(73.004, 36502, 50000)"
182,49.85,"(73.394, 36697, 50000)"
183,48.84,"(74.594, 37297, 50000)"
184,49.4,"(75.04, 37520, 50000)"
185,49.55,"(75.666, 37833, 50000)"
186,48.89,"(76.498, 38249, 50000)"
187,49.91,"(76.94, 38470, 50000)"
188,48.84,"(77.268, 38634, 50000)"
189,49.48,"(78.166, 39083, 50000)"
190,49.43,"(78.57, 39285, 50000)"
191,49.61,"(79.078, 39539, 50000)"
192,49.49,"(79.598, 39799, 50000)"
193,49.35,"(79.63, 39815, 50000)"
194,49.37,"(80.052, 40026, 50000)"
195,49.38,"(80.302, 40151, 50000)"
196,49.3,"(80.244, 40122, 50000)"
197,49.65,"(80.562, 40281, 50000)"
198,49.68,"(80.884, 40442, 50000)"
199,49.19,"(80.86, 40430, 50000)"
200,49.71,"(80.984, 40492, 50000)"
201,49.24,"(80.704, 40352, 50000)"
202,49.47,"(80.85, 40425, 50000)"
203,49.24,"(80.814, 40407, 50000)"
204,49.37,"(80.628, 40314, 50000)"
205,49.26,"(80.844, 40422, 50000)"
206,49.25,"(80.484, 40242, 50000)"
207,49.22,"(80.61, 40305, 50000)"
208,49.53,"(80.176, 40088, 50000)"
209,48.84,"(80.026, 40013, 50000)"
210,48.88,"(79.742, 39871, 50000)"
211,48.62,"(79.184, 39592, 50000)"
212,48.73,"(78.806, 39403, 50000)"
213,48.68,"(78.772, 39386, 50000)"
214,48.84,"(78.208, 39104, 50000)"
215,48.45,"(77.544, 38772, 50000)"
216,48.19,"(76.954, 38477, 50000)"
217,47.71,"(76.41, 38205, 50000)"
218,48.51,"(75.764, 37882, 50000)"
219,47.3,"(75.232, 37616, 50000)"
