Epoch,test accuracy,training accuracy
0,16.44,"(15.27, 7635, 50000)"
1,17.33,"(17.794, 8897, 50000)"
2,20.09,"(19.568, 9784, 50000)"
3,21.6,"(21.238, 10619, 50000)"
4,20.58,"(23.07, 11535, 50000)"
5,24.61,"(24.42, 12210, 50000)"
6,25.59,"(25.666, 12833, 50000)"
7,26.57,"(26.876, 13438, 50000)"
8,26.09,"(27.818, 13909, 50000)"
9,29.33,"(28.752, 14376, 50000)"
10,29.8,"(28.93, 14465, 50000)"
11,28.99,"(30.44, 15220, 50000)"
12,30.81,"(31.478, 15739, 50000)"
13,32.96,"(32.748, 16374, 50000)"
14,33.11,"(34.506, 17253, 50000)"
15,30.31,"(35.468, 17734, 50000)"
16,33.64,"(36.052, 18026, 50000)"
17,29.39,"(37.212, 18606, 50000)"
18,30.76,"(38.518, 19259, 50000)"
19,29.27,"(38.968, 19484, 50000)"
20,36.52,"(39.328, 19664, 50000)"
21,35.25,"(39.714, 19857, 50000)"
22,37.91,"(40.42, 20210, 50000)"
23,35.14,"(40.978, 20489, 50000)"
24,36.14,"(40.688, 20344, 50000)"
25,33.65,"(40.842, 20421, 50000)"
26,22.98,"(41.376, 20688, 50000)"
27,34.82,"(41.67, 20835, 50000)"
28,32.58,"(41.582, 20791, 50000)"
29,34.22,"(41.796, 20898, 50000)"
30,35.2,"(41.812, 20906, 50000)"
31,37.18,"(41.8, 20900, 50000)"
32,35.54,"(42.47, 21235, 50000)"
33,33.27,"(42.318, 21159, 50000)"
34,37.47,"(42.18, 21090, 50000)"
35,34.78,"(42.748, 21374, 50000)"
36,37.49,"(42.488, 21244, 50000)"
37,38.1,"(42.548, 21274, 50000)"
38,39.83,"(42.698, 21349, 50000)"
39,33.66,"(43.05, 21525, 50000)"
40,37.49,"(42.84, 21420, 50000)"
41,39.25,"(43.188, 21594, 50000)"
42,37.48,"(43.538, 21769, 50000)"
43,32.85,"(43.522, 21761, 50000)"
44,37,"(43.276, 21638, 50000)"
45,39.22,"(44.064, 22032, 50000)"
46,35.99,"(43.586, 21793, 50000)"
47,38.65,"(43.8, 21900, 50000)"
48,35.79,"(44.106, 22053, 50000)"
49,39.29,"(43.652, 21826, 50000)"
50,37.86,"(44.182, 22091, 50000)"
51,35.44,"(44.246, 22123, 50000)"
52,41.26,"(44.028, 22014, 50000)"
53,34.18,"(44.002, 22001, 50000)"
54,32.97,"(44.46, 22230, 50000)"
55,38.59,"(44.188, 22094, 50000)"
56,42.9,"(44.27, 22135, 50000)"
57,35,"(44.368, 22184, 50000)"
58,34.23,"(44.866, 22433, 50000)"
59,34.28,"(44.504, 22252, 50000)"
60,34.76,"(44.87, 22435, 50000)"
61,39.29,"(44.832, 22416, 50000)"
62,40.19,"(45.104, 22552, 50000)"
63,35.62,"(44.954, 22477, 50000)"
64,35.35,"(44.776, 22388, 50000)"
65,39.27,"(45.124, 22562, 50000)"
66,39.26,"(44.918, 22459, 50000)"
67,38.18,"(45.282, 22641, 50000)"
68,39.65,"(45.328, 22664, 50000)"
69,36.71,"(45.146, 22573, 50000)"
70,33.28,"(44.828, 22414, 50000)"
71,30.22,"(44.884, 22442, 50000)"
72,39.5,"(45.33, 22665, 50000)"
73,39.18,"(44.914, 22457, 50000)"
74,39,"(45.388, 22694, 50000)"
75,36.79,"(44.948, 22474, 50000)"
76,36.76,"(44.982, 22491, 50000)"
77,39.25,"(45.334, 22667, 50000)"
78,37.67,"(45.632, 22816, 50000)"
79,35.06,"(45.356, 22678, 50000)"
80,37.75,"(45.24, 22620, 50000)"
81,37.59,"(45.33, 22665, 50000)"
82,42.51,"(45.556, 22778, 50000)"
83,39.84,"(45.292, 22646, 50000)"
84,38.14,"(45.692, 22846, 50000)"
85,35.57,"(45.496, 22748, 50000)"
86,34.36,"(45.658, 22829, 50000)"
87,39.55,"(45.548, 22774, 50000)"
88,38.75,"(45.48, 22740, 50000)"
89,35.15,"(45.356, 22678, 50000)"
90,38.57,"(45.434, 22717, 50000)"
91,33.43,"(45.752, 22876, 50000)"
92,41.47,"(45.824, 22912, 50000)"
93,31.8,"(45.896, 22948, 50000)"
94,41.78,"(45.676, 22838, 50000)"
95,36.45,"(45.778, 22889, 50000)"
96,40.76,"(46.0, 23000, 50000)"
97,41.67,"(46.346, 23173, 50000)"
98,36.01,"(46.076, 23038, 50000)"
99,36.73,"(46.21, 23105, 50000)"
100,28.39,"(45.644, 22822, 50000)"
101,39.96,"(45.774, 22887, 50000)"
102,34.81,"(46.102, 23051, 50000)"
103,34.1,"(46.26, 23130, 50000)"
104,35.3,"(45.982, 22991, 50000)"
105,33.69,"(46.294, 23147, 50000)"
106,41.81,"(45.978, 22989, 50000)"
107,31.86,"(46.01, 23005, 50000)"
108,41.66,"(46.174, 23087, 50000)"
109,35.91,"(46.26, 23130, 50000)"
110,37.92,"(46.718, 23359, 50000)"
111,35.1,"(46.29, 23145, 50000)"
112,40.95,"(46.308, 23154, 50000)"
113,39.08,"(46.29, 23145, 50000)"
114,38.25,"(46.202, 23101, 50000)"
115,38.99,"(46.552, 23276, 50000)"
116,38.27,"(46.364, 23182, 50000)"
117,40.45,"(46.236, 23118, 50000)"
118,38.66,"(46.696, 23348, 50000)"
119,38.78,"(46.792, 23396, 50000)"
120,35.98,"(46.522, 23261, 50000)"
121,35.93,"(46.542, 23271, 50000)"
122,40.27,"(46.476, 23238, 50000)"
123,38.3,"(46.698, 23349, 50000)"
124,37.93,"(46.626, 23313, 50000)"
125,37.87,"(46.636, 23318, 50000)"
126,39.89,"(46.626, 23313, 50000)"
127,37.95,"(46.82, 23410, 50000)"
128,37.34,"(47.018, 23509, 50000)"
129,33.78,"(46.854, 23427, 50000)"
130,35.86,"(47.094, 23547, 50000)"
131,38.9,"(46.892, 23446, 50000)"
132,36.59,"(47.036, 23518, 50000)"
133,41.53,"(46.972, 23486, 50000)"
134,40.87,"(46.934, 23467, 50000)"
135,36.84,"(47.514, 23757, 50000)"
136,37.03,"(47.278, 23639, 50000)"
137,36.86,"(46.874, 23437, 50000)"
138,42.65,"(47.314, 23657, 50000)"
139,38.94,"(47.344, 23672, 50000)"
140,37.32,"(47.108, 23554, 50000)"
141,41.79,"(47.358, 23679, 50000)"
142,37.6,"(47.39, 23695, 50000)"
143,43.21,"(48.058, 24029, 50000)"
144,37.21,"(47.344, 23672, 50000)"
145,38.08,"(47.24, 23620, 50000)"
146,35.51,"(47.45, 23725, 50000)"
147,36.32,"(47.466, 23733, 50000)"
148,44.25,"(47.718, 23859, 50000)"
149,42.6,"(47.168, 23584, 50000)"
150,41.45,"(47.964, 23982, 50000)"
151,42.91,"(47.994, 23997, 50000)"
152,39.92,"(47.818, 23909, 50000)"
153,37.03,"(47.996, 23998, 50000)"
154,38.38,"(47.622, 23811, 50000)"
155,42.67,"(47.968, 23984, 50000)"
156,41.14,"(47.888, 23944, 50000)"
157,41.16,"(47.77, 23885, 50000)"
158,43.98,"(47.846, 23923, 50000)"
159,39.4,"(48.4, 24200, 50000)"
160,43.02,"(47.822, 23911, 50000)"
161,39.48,"(48.178, 24089, 50000)"
162,44.57,"(48.248, 24124, 50000)"
163,36.17,"(48.142, 24071, 50000)"
164,41.82,"(48.136, 24068, 50000)"
165,39.48,"(48.288, 24144, 50000)"
166,39.12,"(48.344, 24172, 50000)"
167,40.63,"(48.36, 24180, 50000)"
