Epoch,test accuracy,training accuracy
0,9.88,9.764444444444445
1,10.25,10.084444444444445
2,10.16,10.473333333333333
3,11.07,11.153333333333334
4,13.25,13.268888888888888
5,17.1,16.84
6,23.23,22.266666666666666
7,28.29,27.59111111111111
8,32.93,32.144444444444446
9,36.33,35.26222222222222
10,39.34,37.82
11,41.85,40.35111111111111
12,43.53,42.75111111111111
13,45.63,44.51777777777778
14,47.22,45.89555555555555
15,48.44,46.84222222222222
16,49.1,48.16888888888889
17,50.19,48.72
18,51.36,49.61333333333334
19,51.92,50.144444444444446
20,52.36,50.833333333333336
21,52.37,51.05555555555556
22,52.79,51.27333333333333
23,53.14,51.666666666666664
24,53.3,52.0
25,53.37,51.82
26,53.59,52.022222222222226
27,53.57,52.193333333333335
28,53.53,52.24888888888889
29,53.83,52.57555555555555
30,54.06,52.43555555555555
31,53.93,52.413333333333334
32,53.85,52.48
33,53.71,52.562222222222225
34,53.64,52.4
35,53.45,52.68
36,53.36,52.562222222222225
37,53.29,52.388888888888886
38,53.49,52.44444444444444
39,53.34,52.20444444444445
40,53.19,52.03777777777778
41,53.04,52.22
42,53.08,52.23111111111111
43,52.98,52.02
44,52.77,52.102222222222224
45,52.76,52.23111111111111
46,52.62,52.03333333333333
47,52.46,51.91555555555556
48,52.66,51.85333333333333
49,52.27,51.65777777777778
50,52.23,51.782222222222224
51,52.1,51.477777777777774
52,51.84,51.68666666666667
53,52.0,51.49333333333333
54,51.92,51.464444444444446
55,51.63,51.644444444444446
56,51.66,50.964444444444446
57,51.59,51.11333333333334
58,51.36,51.24888888888889
59,51.4,51.03111111111111
60,51.26,51.282222222222224
61,51.25,51.37777777777778
62,51.15,51.14666666666667
63,51.16,51.16222222222222
64,51.15,51.004444444444445
65,51.14,50.82888888888889
66,51.15,51.04222222222222
67,51.0,50.91555555555556
68,51.15,50.724444444444444
69,50.99,50.937777777777775
70,50.96,50.882222222222225
71,50.81,50.81777777777778
72,50.91,50.81333333333333
73,50.96,50.77111111111111
74,50.96,50.59111111111111
75,50.85,50.47555555555556
76,50.85,50.78666666666667
77,50.75,50.80222222222222
78,50.75,50.66222222222222
79,50.77,50.61333333333334
80,50.69,50.81333333333333
81,50.75,50.75111111111111
82,50.73,50.68222222222222
83,50.69,50.57555555555555
84,50.76,50.65555555555556
85,50.72,50.27111111111111
86,50.66,50.617777777777775
87,50.64,50.78
88,50.62,50.41777777777778
89,50.63,50.37777777777778
90,50.68,50.593333333333334
91,50.67,50.54222222222222
92,50.64,50.48222222222222
93,50.63,50.50222222222222
94,50.63,50.44222222222222
95,50.63,50.65777777777778
96,50.64,50.59777777777778
97,50.67,50.68
98,50.67,50.437777777777775
99,50.68,50.48222222222222
