Epoch,test accuracy,training accuracy
0,18.48,19.304444444444446
1,17.9,19.128888888888888
2,20.21,20.891111111111112
3,24.48,25.16
4,26.2,27.575555555555557
5,32.13,34.06
6,35.35,37.80888888888889
7,33.94,39.964444444444446
8,40.24,43.51111111111111
9,40.24,44.086666666666666
10,41.63,45.39111111111111
11,42.45,46.66222222222222
12,44.18,47.44444444444444
13,44.39,47.766666666666666
14,44.8,48.63333333333333
15,45.41,49.47555555555556
16,45.57,50.30222222222222
17,45.04,49.10444444444445
18,45.81,50.184444444444445
19,46.28,51.12444444444444
20,46.6,51.26222222222222
21,44.94,51.6
22,47.25,52.27333333333333
