Epoch,test accuracy,training accuracy
0,10.08,10.068888888888889
1,10.26,10.5
2,10.75,10.586666666666666
3,10.97,10.911111111111111
4,11.0,11.248888888888889
5,10.91,11.175555555555556
6,11.55,11.204444444444444
7,13.31,13.197777777777778
8,14.83,13.724444444444444
9,14.89,13.735555555555555
10,15.21,14.408888888888889
11,15.81,15.28
12,13.99,14.766666666666667
13,16.83,16.864444444444445
14,17.15,17.09111111111111
15,17.19,16.682222222222222
16,17.42,17.24888888888889
17,17.8,17.322222222222223
18,17.54,18.313333333333333
19,18.73,19.16
20,18.39,19.0
21,18.73,19.38888888888889
22,18.8,18.81111111111111
23,17.74,18.08222222222222
24,19.44,19.295555555555556
25,19.23,20.335555555555555
26,18.83,21.017777777777777
27,19.7,21.608888888888888
28,19.96,20.90888888888889
29,20.11,21.122222222222224
30,20.79,21.871111111111112
31,20.37,21.92888888888889
32,20.59,22.14666666666667
33,21.9,22.357777777777777
34,21.92,23.64666666666667
35,21.03,23.19333333333333
36,22.26,23.486666666666668
37,21.79,23.435555555555556
38,22.31,23.557777777777776
39,22.46,23.455555555555556
40,22.74,24.213333333333335
41,24.36,24.371111111111112
42,23.6,24.42
43,23.43,24.58222222222222
44,23.56,24.813333333333333
45,24.49,25.064444444444444
46,24.85,24.984444444444446
47,23.89,25.244444444444444
48,24.22,25.06222222222222
49,24.59,25.664444444444445
50,24.61,25.74
51,24.62,26.137777777777778
52,24.89,26.226666666666667
53,24.66,25.85333333333333
54,25.24,26.50888888888889
55,25.55,26.624444444444446
56,25.44,26.90222222222222
57,24.83,26.97111111111111
58,25.93,26.988888888888887
59,26.14,27.013333333333332
60,24.93,27.033333333333335
61,25.7,27.064444444444444
62,25.95,27.448888888888888
63,26.27,27.52
64,26.04,27.375555555555554
65,26.94,27.615555555555556
66,25.88,27.964444444444446
67,26.9,27.968888888888888
68,26.47,27.857777777777777
69,26.5,28.404444444444444
70,26.37,28.164444444444445
71,26.35,27.93777777777778
72,26.43,28.32
73,26.85,28.197777777777777
74,27.01,28.32
75,27.0,28.366666666666667
76,26.75,28.45111111111111
77,26.68,28.54
78,26.68,28.59111111111111
79,26.63,28.373333333333335
80,26.68,28.533333333333335
81,26.66,28.41777777777778
82,26.83,28.504444444444445
83,26.62,28.442222222222224
84,26.89,28.535555555555554
85,27.0,28.83111111111111
86,27.13,28.826666666666668
87,26.9,28.504444444444445
88,27.0,28.633333333333333
89,26.86,28.64666666666667
90,26.95,28.72
91,27.0,29.051111111111112
92,27.07,28.715555555555557
93,26.85,28.684444444444445
94,26.95,28.448888888888888
95,26.92,28.8
96,26.94,28.804444444444446
97,26.9,28.871111111111112
98,26.84,28.844444444444445
99,26.84,28.644444444444446
