Epoch,test accuracy,training accuracy
0,41.7,39.306666666666665
1,47.96,45.81777777777778
2,54.02,51.77111111111111
3,55.91,54.73555555555556
4,60.33,59.33777777777778
5,63.12,62.91555555555556
6,63.24,62.53111111111111
7,65.09,63.95333333333333
8,68.14,67.82444444444444
9,70.2,70.58222222222223
10,71.53,71.81777777777778
11,71.77,71.88888888888889
12,73.19,73.51555555555555
13,73.53,74.04444444444445
14,74.07,74.99333333333334
15,75.57,76.7311111111111
16,75.18,76.06666666666666
17,74.41,75.01555555555555
18,76.07,77.98666666666666
19,76.79,78.91111111111111
20,78.05,78.96666666666667
21,76.69,79.21777777777778
22,76.4,79.27333333333333
23,77.89,80.29777777777778
24,78.39,81.28666666666666
25,78.37,81.40666666666667
26,79.58,82.47333333333333
27,78.56,81.49777777777778
28,79.71,82.73555555555555
29,79.63,82.84666666666666
30,79.95,83.22888888888889
31,80.33,83.6
32,80.14,84.06666666666666
33,81.1,85.03555555555556
34,79.87,84.48222222222222
35,81.65,85.64222222222222
36,80.67,84.49777777777778
37,81.49,86.34444444444445
38,82.01,86.42666666666666
39,81.12,86.72666666666667
40,82.06,87.29777777777778
41,81.33,86.53777777777778
42,82.01,87.27555555555556
43,82.26,87.70222222222222
44,82.08,87.91555555555556
45,82.0,88.61111111111111
46,82.74,89.02888888888889
47,82.54,88.62666666666667
48,82.39,88.65333333333334
49,82.8,89.46666666666667
50,83.04,89.71111111111111
51,83.18,90.26222222222222
52,82.78,90.0
53,83.46,90.44
54,83.25,90.41777777777777
55,83.52,91.07333333333334
56,83.53,91.20444444444445
57,83.46,91.5911111111111
58,83.9,91.67777777777778
59,83.83,92.06
60,83.46,91.7911111111111
61,83.85,92.15333333333334
62,83.93,92.44
63,84.14,92.78222222222222
64,83.95,92.82222222222222
65,83.95,93.10666666666667
66,84.26,93.16
67,84.15,93.39333333333333
68,84.19,93.61777777777777
69,83.73,93.53777777777778
70,84.1,93.87555555555555
71,84.32,93.93333333333334
72,84.23,94.03555555555556
73,84.31,94.28
74,84.23,94.43111111111111
75,84.28,94.38
76,84.55,94.51777777777778
77,84.59,94.84444444444445
78,84.83,94.8
79,84.62,94.88
80,84.52,95.17777777777778
81,84.54,95.15333333333334
82,84.54,95.16
83,84.6,95.20444444444445
84,84.65,95.15333333333334
85,84.7,95.24666666666667
86,84.7,95.52666666666667
87,84.71,95.4088888888889
88,84.75,95.53777777777778
89,84.8,95.50444444444445
90,84.78,95.49555555555555
91,84.68,95.53111111111112
92,84.65,95.50444444444445
93,84.71,95.42444444444445
94,84.64,95.62444444444445
95,84.7,95.60666666666667
96,84.7,95.68444444444444
97,84.76,95.54444444444445
98,84.75,95.51333333333334
99,84.72,95.59333333333333
