Epoch,test accuracy,training accuracy
0,1.2,"(2.596830985915493, 2596, 99968)"
1,3.75,"(5.392725672215109, 5391, 99968)"
2,5.98,"(10.069222151088349, 10066, 99968)"
3,6.14,"(15.132842509603073, 15128, 99968)"
4,4.81,"(18.721991037131883, 18716, 99968)"
5,10.07,"(21.67993758002561, 21673, 99968)"
6,9.0,"(24.359795134443022, 24352, 99968)"
7,14.47,"(26.002320742637643, 25994, 99968)"
8,11.7,"(27.867917733674776, 27859, 99968)"
9,12.55,"(29.400408130601793, 29391, 99968)"
10,9.37,"(30.38872439180538, 30379, 99968)"
11,12.4,"(31.936219590268887, 31926, 99968)"
12,13.43,"(32.92053457106274, 32910, 99968)"
13,17.02,"(33.9538652368758, 33943, 99968)"
14,16.94,"(34.54705505761844, 34536, 99968)"
15,16.98,"(35.585387323943664, 35574, 99968)"
16,16.91,"(35.633402688860436, 35622, 99968)"
17,18.37,"(36.16557298335467, 36154, 99968)"
18,17.25,"(36.919814340588985, 36908, 99968)"
19,15.74,"(37.29493437900128, 37283, 99968)"
20,15.34,"(38.07618437900128, 38064, 99968)"
21,16.51,"(38.39528649167734, 38383, 99968)"
22,14.72,"(38.71138764404609, 38699, 99968)"
23,17.32,"(39.25656209987196, 39244, 99968)"
24,16.65,"(40.011803777208705, 39999, 99968)"
25,19.64,"(39.89076504481434, 39878, 99968)"
26,16.6,"(40.52196702944942, 40509, 99968)"
27,21.03,"(40.65600992317542, 40643, 99968)"
28,23.06,"(40.93609955185659, 40923, 99968)"
29,22.69,"(41.59330985915493, 41580, 99968)"
30,22.34,"(42.03245038412292, 42019, 99968)"
31,19.32,"(41.97143085787452, 41958, 99968)"
32,23.51,"(42.56061939820743, 42547, 99968)"
33,19.85,"(42.76468469910371, 42751, 99968)"
34,19.18,"(42.87171895006402, 42858, 99968)"
35,23.45,"(43.51092349551857, 43497, 99968)"
36,20.94,"(43.92305537772087, 43909, 99968)"
37,16.53,"(44.62828104993598, 44614, 99968)"
38,24.11,"(44.67329545454545, 44659, 99968)"
39,20.86,"(44.958386683738794, 44944, 99968)"
40,23.6,"(45.302496798975675, 45288, 99968)"
41,21.13,"(45.7366357234315, 45722, 99968)"
42,27.68,"(45.866677336747756, 45852, 99968)"
43,29.71,"(46.55189660691421, 46537, 99968)"
44,25.73,"(47.03104993597951, 47016, 99968)"
45,8.91,"(47.071062740076826, 47056, 99968)"
46,25.03,"(47.84230953905249, 47827, 99968)"
47,27.51,"(47.81229993597951, 47797, 99968)"
48,24.25,"(48.41749359795134, 48402, 99968)"
49,27.47,"(48.95066421254801, 48935, 99968)"
50,27.76,"(49.65588988476313, 49640, 99968)"
51,27.14,"(50.01300416133163, 49997, 99968)"
52,27.27,"(50.3020966709347, 50286, 99968)"
53,31.12,"(50.696222791293216, 50680, 99968)"
54,33.33,"(51.35043213828425, 51334, 99968)"
55,25.72,"(51.870598591549296, 51854, 99968)"
56,30.06,"(52.439780729833544, 52423, 99968)"
57,33.91,"(52.592829705505764, 52576, 99968)"
58,35.03,"(53.02396766965429, 53007, 99968)"
59,36.06,"(53.86923815620999, 53852, 99968)"
60,38.75,"(54.2083466709347, 54191, 99968)"
61,36.83,"(55.08062580025608, 55063, 99968)"
62,38.15,"(55.23867637644046, 55221, 99968)"
63,38.17,"(56.19098111395647, 56173, 99968)"
64,38.19,"(56.66413252240717, 56646, 99968)"
65,37.82,"(57.37536011523687, 57357, 99968)"
66,32.31,"(57.839508642765686, 57821, 99968)"
67,40.59,"(58.19662291933419, 58178, 99968)"
68,43.04,"(58.835827464788736, 58817, 99968)"
69,45.63,"(59.73911651728553, 59720, 99968)"
70,45.07,"(60.2752880921895, 60256, 99968)"
71,47.3,"(60.81746158770807, 60798, 99968)"
72,47.94,"(61.86379641485275, 61844, 99968)"
73,43.95,"(62.47099071702945, 62451, 99968)"
74,49.26,"(63.12319942381562, 63103, 99968)"
75,51.04,"(45.673615556978234, 45659, 99968)"
76,50.96,"(45.684619078104994, 45670, 99968)"
77,51.11,"(45.53157010243278, 45517, 99968)"
78,50.45,"(45.58458706786172, 45570, 99968)"
79,50.37,"(45.36551696542894, 45351, 99968)"
80,51.53,"(45.59759122919334, 45583, 99968)"
81,50.76,"(45.4955585787452, 45481, 99968)"
82,51.32,"(45.515564980793854, 45501, 99968)"
83,50.81,"(45.63960467349552, 45625, 99968)"
84,50.38,"(45.68962067861716, 45675, 99968)"
85,50.34,"(45.47955345710628, 45465, 99968)"
86,50.68,"(45.52056658130602, 45506, 99968)"
87,51.01,"(45.745638604353395, 45731, 99968)"
88,50.75,"(45.64560659411011, 45631, 99968)"
89,50.81,"(45.38452304737516, 45370, 99968)"
90,50.63,"(45.754641485275286, 45740, 99968)"
91,51.19,"(45.69162131882202, 45677, 99968)"
92,50.93,"(45.64560659411011, 45631, 99968)"
93,51.02,"(45.6816181177977, 45667, 99968)"
94,50.62,"(45.81766165172856, 45803, 99968)"
95,35.83,"(28.603153008962867, 28594, 99968)"
96,34.95,"(28.57514404609475, 28566, 99968)"
97,34.48,"(28.50612195902689, 28497, 99968)"
98,34.98,"(28.364076504481435, 28355, 99968)"
99,35.33,"(28.551136363636363, 28542, 99968)"
