Epoch,flops
0,2655700303872
1,5311400607744
2,7967100911616
3,10622801215488
4,13278501519360
5,15934201823232
6,18589902127104
7,21245602430976
8,23901302734848
9,26557003038720
10,29212703342592
11,31868403646464
12,34524103950336
13,37179804254208
14,39835504558080
15,42491204861952
16,45146905165824
17,47802605469696
18,50458305773568
19,53114006077440
20,55769706381312
21,58425406685184
22,61081106989056
23,63736807292928
24,66392507596800
25,69048207900672
26,71703908204544
27,74359608508416
28,77015308812288
29,79671009116160
30,82326709420032
31,84982409723904
32,87638110027776
33,90293810331648
34,92949510635520
35,95605210939392
36,98260911243264
37,100916611547136
38,103572311851008
39,106228012154880
40,108883712458752
41,111539412762624
42,114195113066496
43,116850813370368
44,119506513674240
45,122162213978112
46,124817914281984
47,127473614585856
48,130129314889728
49,132785015193600
50,135440715497472
51,138096415801344
52,140752116105216
53,143407816409088
54,146063516712960
55,148719217016832
56,151374917320704
57,154030617624576
58,156686317928448
59,159342018232320
60,161997718536192
61,164653418840064
62,167309119143936
63,169964819447808
64,172620519751680
65,175276220055552
66,177931920359424
67,180587620663296
68,183243320967168
69,185899021271040
70,188554721574912
71,191210421878784
72,193866122182656
73,196521822486528
74,199177522790400
75,205909038415872
76,212640554041344
77,219372069666816
78,226103585292288
79,232835100917760
80,239566616543232
81,246298132168704
82,253029647794176
83,259761163419648
84,266492679045120
85,273224194670592
86,279955710296064
87,286687225921536
88,293418741547008
89,300150257172480
90,306881772797952
91,313613288423424
92,320344804048896
93,327076319674368
94,333807835299840
95,351382804709376
96,368957774118912
97,386532743528448
98,404107712937984
99,421682682347520
