Epoch,test accuracy,training accuracy
0,1.74,"(0.9231578947368421, 877, 95000)"
1,3.73,"(2.334736842105263, 2218, 95000)"
2,7.24,"(4.8978947368421055, 4653, 95000)"
3,8.64,"(8.229473684210527, 7818, 95000)"
4,10.4,"(11.24421052631579, 10682, 95000)"
5,12.11,"(13.767368421052632, 13079, 95000)"
6,18.11,"(15.892631578947368, 15098, 95000)"
7,17.21,"(17.472631578947368, 16599, 95000)"
8,15.74,"(19.082105263157896, 18128, 95000)"
9,20.24,"(20.257894736842104, 19245, 95000)"
10,21.51,"(20.949473684210528, 19902, 95000)"
11,22.74,"(22.07578947368421, 20972, 95000)"
12,20.13,"(23.038947368421052, 21887, 95000)"
13,21.16,"(23.533684210526317, 22357, 95000)"
14,23.16,"(24.203157894736844, 22993, 95000)"
15,22.02,"(24.75578947368421, 23518, 95000)"
16,24.73,"(25.305263157894736, 24040, 95000)"
17,24.01,"(25.790526315789474, 24501, 95000)"
18,24.06,"(26.554736842105264, 25227, 95000)"
19,22.36,"(26.77263157894737, 25434, 95000)"
20,26.76,"(27.150526315789474, 25793, 95000)"
21,22.45,"(27.763157894736842, 26375, 95000)"
22,24.65,"(28.025263157894738, 26624, 95000)"
23,27.1,"(28.346315789473685, 26929, 95000)"
24,27.06,"(28.65473684210526, 27222, 95000)"
25,28.91,"(29.022105263157894, 27571, 95000)"
26,29.22,"(29.45263157894737, 27980, 95000)"
27,30.79,"(29.58105263157895, 28102, 95000)"
28,26.84,"(29.81684210526316, 28326, 95000)"
29,27.1,"(30.2, 28690, 95000)"
30,30.09,"(30.246315789473684, 28734, 95000)"
31,25.49,"(30.393684210526317, 28874, 95000)"
32,30.2,"(30.76105263157895, 29223, 95000)"
33,26.24,"(31.006315789473685, 29456, 95000)"
34,31.3,"(31.09263157894737, 29538, 95000)"
35,31.34,"(31.26421052631579, 29701, 95000)"
36,30.74,"(31.617894736842103, 30037, 95000)"
37,30.36,"(31.44, 29868, 95000)"
38,28.85,"(31.606315789473683, 30026, 95000)"
39,29.52,"(31.817894736842106, 30227, 95000)"
40,30.82,"(32.130526315789474, 30524, 95000)"
41,31.45,"(32.08315789473684, 30479, 95000)"
42,31.15,"(32.37263157894737, 30754, 95000)"
43,33.2,"(32.36421052631579, 30746, 95000)"
44,32.49,"(32.613684210526316, 30983, 95000)"
45,30.4,"(32.937894736842104, 31291, 95000)"
46,32.36,"(32.98842105263158, 31339, 95000)"
47,31.95,"(33.03473684210526, 31383, 95000)"
48,34.3,"(33.39578947368421, 31726, 95000)"
49,31.32,"(33.15052631578947, 31493, 95000)"
50,32.52,"(33.31473684210526, 31649, 95000)"
51,34.27,"(33.49473684210526, 31820, 95000)"
52,34.78,"(33.846315789473685, 32154, 95000)"
53,33.17,"(34.107368421052634, 32402, 95000)"
54,33.09,"(33.963157894736845, 32265, 95000)"
55,34.71,"(34.09684210526316, 32392, 95000)"
56,32.12,"(33.97684210526316, 32278, 95000)"
57,34.49,"(34.513684210526314, 32788, 95000)"
58,26.4,"(34.51052631578948, 32785, 95000)"
59,36.98,"(34.62842105263158, 32897, 95000)"
60,33.12,"(34.72315789473684, 32987, 95000)"
61,31.4,"(35.21052631578947, 33450, 95000)"
62,31.1,"(35.253684210526316, 33491, 95000)"
63,36.33,"(35.53368421052632, 33757, 95000)"
64,33.86,"(35.39684210526316, 33627, 95000)"
65,34.51,"(35.57473684210526, 33796, 95000)"
66,35.25,"(35.56315789473684, 33785, 95000)"
67,30.61,"(35.82105263157895, 34030, 95000)"
68,34.91,"(35.86631578947368, 34073, 95000)"
69,31.45,"(36.125263157894736, 34319, 95000)"
70,37.2,"(36.24947368421053, 34437, 95000)"
71,34.86,"(36.31578947368421, 34500, 95000)"
72,34.45,"(36.76210526315789, 34924, 95000)"
73,34.13,"(36.62421052631579, 34793, 95000)"
74,39.81,"(36.75684210526316, 34919, 95000)"
75,36.75,"(36.84105263157895, 34999, 95000)"
76,32.75,"(37.04526315789474, 35193, 95000)"
77,35.89,"(37.112631578947365, 35257, 95000)"
78,32.59,"(37.36526315789474, 35497, 95000)"
79,38.62,"(37.59368421052631, 35714, 95000)"
80,37.38,"(37.6621052631579, 35779, 95000)"
81,36.64,"(37.90315789473684, 36008, 95000)"
82,39.09,"(37.986315789473686, 36087, 95000)"
83,39.15,"(38.04105263157895, 36139, 95000)"
84,37.14,"(38.3821052631579, 36463, 95000)"
85,37.16,"(38.36105263157895, 36443, 95000)"
86,40.89,"(38.84315789473684, 36901, 95000)"
87,40.07,"(38.910526315789475, 36965, 95000)"
88,39.23,"(38.84842105263158, 36906, 95000)"
89,37.79,"(39.177894736842106, 37219, 95000)"
90,38.84,"(39.218947368421055, 37258, 95000)"
91,40.53,"(39.618947368421054, 37638, 95000)"
92,40.49,"(39.783157894736846, 37794, 95000)"
93,39.85,"(39.961052631578944, 37963, 95000)"
