"Step","resnet_small_normal_small_imagenet_1714153875.2669325_rf_level_3_recording_200 - Test Accuracy","resnet_small_normal_small_imagenet_1714153875.2669325_rf_level_3_recording_200 - Test Accuracy__MIN","resnet_small_normal_small_imagenet_1714153875.2669325_rf_level_3_recording_200 - Test Accuracy__MAX"
"0","8","8","8"
"1","9.21","9.21","9.21"
"2","13.56","13.56","13.56"
"3","17.11","17.11","17.11"
"4","18.39","18.39","18.39"
"5","16.93","16.93","16.93"
"6","20.35","20.35","20.35"
"7","22.05","22.05","22.05"
"8","18.27","18.27","18.27"
"9","18.8","18.8","18.8"
"10","23.94","23.94","23.94"
"11","21.55","21.55","21.55"
"12","17.46","17.46","17.46"
"13","21.66","21.66","21.66"
"14","26.62","26.62","26.62"
"15","23.75","23.75","23.75"
"16","22.13","22.13","22.13"
"17","24.53","24.53","24.53"
"18","14.72","14.72","14.72"
"19","19.12","19.12","19.12"
"20","25.45","25.45","25.45"
"21","25.9","25.9","25.9"
"22","23.66","23.66","23.66"
"23","20.92","20.92","20.92"
"24","26.22","26.22","26.22"
"25","26.64","26.64","26.64"
"26","24.14","24.14","24.14"
"27","18.91","18.91","18.91"
"28","24.92","24.92","24.92"
"29","23.1","23.1","23.1"
"30","26.6","26.6","26.6"
"31","25.95","25.95","25.95"
"32","28.08","28.08","28.08"
"33","19.62","19.62","19.62"
"34","23.8","23.8","23.8"
"35","24.74","24.74","24.74"
"36","23.43","23.43","23.43"
"37","24.99","24.99","24.99"
"38","24.91","24.91","24.91"
"39","22.38","22.38","22.38"
"40","27.35","27.35","27.35"
"41","20.63","20.63","20.63"
"42","25.09","25.09","25.09"
"43","27.58","27.58","27.58"
"44","27.96","27.96","27.96"
"45","28.52","28.52","28.52"
"46","21","21","21"
"47","25.11","25.11","25.11"
"48","17.31","17.31","17.31"
"49","27.73","27.73","27.73"
"50","26.79","26.79","26.79"
"51","25.9","25.9","25.9"
"52","29.15","29.15","29.15"
"53","25.97","25.97","25.97"
"54","29.13","29.13","29.13"
"55","26.86","26.86","26.86"
"56","27.87","27.87","27.87"
"57","31.71","31.71","31.71"
"58","29.57","29.57","29.57"
"59","29.04","29.04","29.04"
"60","30.04","30.04","30.04"
"61","28.16","28.16","28.16"
"62","25.84","25.84","25.84"
"63","30.51","30.51","30.51"
"64","29.03","29.03","29.03"
"65","23.28","23.28","23.28"
"66","28.89","28.89","28.89"
"67","26.93","26.93","26.93"
"68","31.03","31.03","31.03"
"69","26.95","26.95","26.95"
"70","22.31","22.31","22.31"
"71","28.76","28.76","28.76"
"72","28.98","28.98","28.98"
"73","31.63","31.63","31.63"
"74","25.94","25.94","25.94"
"75","22.89","22.89","22.89"
"76","28.74","28.74","28.74"
"77","26.94","26.94","26.94"
"78","28.57","28.57","28.57"
"79","27.98","27.98","27.98"
"80","35.03","35.03","35.03"
"81","32.58","32.58","32.58"
"82","32.72","32.72","32.72"
"83","33.43","33.43","33.43"
"84","30.06","30.06","30.06"
"85","30.43","30.43","30.43"
"86","33.7","33.7","33.7"
"87","28.16","28.16","28.16"
"88","28.28","28.28","28.28"
"89","35.34","35.34","35.34"
"90","30.33","30.33","30.33"
"91","33.04","33.04","33.04"
"92","31.53","31.53","31.53"
"93","31.25","31.25","31.25"
"94","34.24","34.24","34.24"
"95","33.85","33.85","33.85"
"96","32.47","32.47","32.47"
"97","33.77","33.77","33.77"
"98","34.42","34.42","34.42"
"99","33.32","33.32","33.32"
"100","28.19","28.19","28.19"
"101","28.38","28.38","28.38"
"102","35.79","35.79","35.79"
"103","37.5","37.5","37.5"
"104","33.13","33.13","33.13"
"105","34.24","34.24","34.24"
"106","34.42","34.42","34.42"
"107","36.41","36.41","36.41"
"108","31.95","31.95","31.95"
"109","34.79","34.79","34.79"
"110","28.71","28.71","28.71"
"111","30.05","30.05","30.05"
"112","36.24","36.24","36.24"
"113","35.86","35.86","35.86"
"114","37.09","37.09","37.09"
"115","38.02","38.02","38.02"
"116","31.91","31.91","31.91"
"117","37.24","37.24","37.24"
"118","38.37","38.37","38.37"
