Epoch,test accuracy,training accuracy
0,2.65,"(4.973591549295775, 4972, 99968)"
1,3.17,"(7.924535851472471, 7922, 99968)"
2,2.64,"(10.484354993597952, 10481, 99968)"
3,6.19,"(12.721070742637645, 12717, 99968)"
4,5.25,"(14.862756081946223, 14858, 99968)"
5,7.64,"(16.739356594110117, 16734, 99968)"
6,8.27,"(18.6919814340589, 18686, 99968)"
7,6.99,"(20.097431177976954, 20091, 99968)"
8,8.62,"(21.38584346991037, 21379, 99968)"
9,9.12,"(22.773287451984636, 22766, 99968)"
10,9.98,"(23.821622919334185, 23814, 99968)"
11,7.8,"(25.048015364916772, 25040, 99968)"
12,8.79,"(26.13436299615877, 26126, 99968)"
13,11.65,"(27.200704225352112, 27192, 99968)"
14,11.03,"(28.127000640204866, 28118, 99968)"
15,16.92,"(28.28705185659411, 28278, 99968)"
16,12.76,"(28.99227752880922, 28983, 99968)"
17,9.41,"(30.359715108834827, 30350, 99968)"
18,10.51,"(30.66981434058899, 30660, 99968)"
19,11.95,"(31.48707586427657, 31477, 99968)"
20,11.28,"(32.36235595390525, 32352, 99968)"
21,11.09,"(32.5164052496799, 32506, 99968)"
22,15.34,"(33.24963988476313, 33239, 99968)"
23,10.42,"(33.60775448143406, 33597, 99968)"
24,16.91,"(33.99687900128041, 33986, 99968)"
25,18.94,"(34.60107234314981, 34590, 99968)"
26,16.64,"(35.2722871318822, 35261, 99968)"
27,16.43,"(35.3973271446863, 35386, 99968)"
28,15.98,"(36.265604993597954, 36254, 99968)"
29,18.7,"(36.68373879641485, 36672, 99968)"
30,18.11,"(37.06085947503201, 37049, 99968)"
31,16.12,"(36.99283770806658, 36981, 99968)"
32,13.71,"(38.319262163892446, 38307, 99968)"
33,18.6,"(38.12720070422535, 38115, 99968)"
34,16.86,"(39.045494558258646, 39033, 99968)"
35,19.2,"(39.01848591549296, 39006, 99968)"
36,19.06,"(39.33958866837388, 39327, 99968)"
37,18.57,"(39.96979033290653, 39957, 99968)"
38,22.3,"(40.41893405889885, 40406, 99968)"
39,19.04,"(40.66501280409731, 40652, 99968)"
40,23.04,"(41.00212067861716, 40989, 99968)"
41,19.45,"(41.66333226632523, 41650, 99968)"
42,21.07,"(42.18950064020486, 42176, 99968)"
43,21.88,"(42.868717989756725, 42855, 99968)"
44,23.69,"(42.91473271446863, 42901, 99968)"
45,25.98,"(43.61995838668374, 43606, 99968)"
46,26.73,"(43.74599871959027, 43732, 99968)"
47,27.02,"(44.44122119078105, 44427, 99968)"
48,24.54,"(44.57126280409731, 44557, 99968)"
49,29.59,"(45.36351632522407, 45349, 99968)"
50,25.67,"(45.72563220230474, 45711, 99968)"
51,27.12,"(46.37183898847631, 46357, 99968)"
52,23.84,"(47.023047375160054, 47008, 99968)"
53,27.06,"(47.42617637644046, 47411, 99968)"
54,29.97,"(47.44318181818182, 47428, 99968)"
55,32.98,"(48.195422535211264, 48180, 99968)"
56,32.15,"(49.250760243277846, 49235, 99968)"
57,35.22,"(49.23275448143406, 49217, 99968)"
58,31.86,"(50.14404609475032, 50128, 99968)"
59,31.97,"(50.66121158770807, 50645, 99968)"
60,32.39,"(51.08234635083227, 51066, 99968)"
61,34.8,"(51.787572023047375, 51771, 99968)"
62,36.67,"(52.43377880921895, 52417, 99968)"
63,36.77,"(52.704865556978234, 52688, 99968)"
64,37.42,"(53.69318181818182, 53676, 99968)"
65,39.14,"(54.069302176696546, 54052, 99968)"
66,38.84,"(55.01460467349552, 54997, 99968)"
67,41.62,"(55.38672375160051, 55369, 99968)"
68,42.35,"(56.29401408450704, 56276, 99968)"
69,25.78,"(56.7901728553137, 56772, 99968)"
70,46.74,"(57.407370358514726, 57389, 99968)"
71,42.62,"(58.46270806658131, 58444, 99968)"
72,44.48,"(59.285971510883485, 59267, 99968)"
73,45.02,"(59.63108194622279, 59612, 99968)"
74,45.91,"(60.63640364916773, 60617, 99968)"
75,51.26,"(61.42865717029449, 61409, 99968)"
76,49.58,"(62.17689660691421, 62157, 99968)"
77,52.68,"(62.93914052496799, 62919, 99968)"
78,53.16,"(63.93345870678617, 63913, 99968)"
79,52.3,"(64.71770966709347, 64697, 99968)"
80,54.81,"(65.59499039692702, 65574, 99968)"
81,58.3,"(66.25720230473752, 66236, 99968)"
82,58.43,"(67.6116357234315, 67590, 99968)"
83,58.85,"(68.61495678617158, 68593, 99968)"
84,61.92,"(69.37119878361075, 69349, 99968)"
85,62.22,"(70.34951184379001, 70327, 99968)"
86,64.11,"(71.44686299615877, 71424, 99968)"
87,65.12,"(72.19510243277848, 72172, 99968)"
88,67.73,"(73.10239276568502, 73079, 99968)"
89,65.86,"(73.97367157490397, 73950, 99968)"
90,69.1,"(74.99799935979513, 74974, 99968)"
91,69.32,"(75.83626760563381, 75812, 99968)"
92,70.39,"(76.27740877080666, 76253, 99968)"
93,70.8,"(77.07766485275287, 77053, 99968)"
94,72.01,"(77.63184218950065, 77607, 99968)"
95,72.29,"(78.36007522407171, 78335, 99968)"
96,72.45,"(78.49911971830986, 78474, 99968)"
97,72.5,"(78.56714148527529, 78542, 99968)"
98,72.76,"(78.76420454545455, 78739, 99968)"
99,72.95,"(79.10231274007683, 79077, 99968)"
