Epoch,flops
0,6323991674880
1,12647983349760
2,18971975024640
3,25295966699520
4,31619958374400
5,37943950049280
6,44267941724160
7,50591933399040
8,56915925073920
9,63239916748800
10,69563908423680
11,75887900098560
12,82211891773440
13,88535883448320
14,94859875123200
15,101183866798080
16,107507858472960
17,113831850147840
18,120155841822720
19,126479833497600
20,132803825172480
21,139127816847360
22,145451808522240
23,151775800197120
24,158099791872000
25,164423783546880
26,170747775221760
27,177071766896640
28,183395758571520
29,189719750246400
30,196043741921280
31,202367733596160
32,208691725271040
33,215015716945920
34,221339708620800
35,227663700295680
36,233987691970560
37,240311683645440
38,246635675320320
39,252959666995200
40,259283658670080
41,265607650344960
42,271931642019840
43,278255633694720
44,284579625369600
45,290903617044480
46,297227608719360
47,303551600394240
48,309875592069120
49,316199583744000
50,322523575418880
51,328847567093760
52,335171558768640
53,341495550443520
54,347819542118400
55,354143533793280
56,360467525468160
57,366791517143040
58,373115508817920
59,379439500492800
60,385763492167680
61,392087483842560
62,398411475517440
63,404735467192320
64,411059458867200
65,417383450542080
66,423707442216960
67,430031433891840
68,436355425566720
69,442679417241600
70,449003408916480
71,455327400591360
72,461651392266240
73,467975383941120
74,474299375616000
75,480623367290880
76,486947358965760
77,493271350640640
78,499595342315520
79,505919333990400
80,512243325665280
81,518567317340160
82,524891309015040
83,531215300689920
84,537539292364800
85,543863284039680
86,550187275714560
87,556511267389440
88,562835259064320
89,569159250739200
90,575483242414080
91,581807234088960
92,588131225763840
93,594455217438720
94,600779209113600
95,607103200788480
96,613427192463360
97,619751184138240
98,626075175813120
99,632399167488000
