Epoch,test accuracy,training accuracy
0,1.21,"(3.0639804737516005, 3063, 99968)"
1,2.35,"(4.732514404609475, 4731, 99968)"
2,2.74,"(5.719830345710627, 5718, 99968)"
3,2.95,"(6.917213508322663, 6915, 99968)"
4,4.05,"(8.674775928297056, 8672, 99968)"
5,4.01,"(9.903169014084508, 9900, 99968)"
6,3.53,"(11.003521126760564, 11000, 99968)"
7,2.86,"(11.266605313700385, 11263, 99968)"
8,3.9,"(11.817781690140846, 11814, 99968)"
9,4.77,"(12.354953585147246, 12351, 99968)"
10,5.13,"(12.83810819462228, 12834, 99968)"
11,3.4,"(13.048175416133162, 13044, 99968)"
12,4.24,"(13.249239756722151, 13245, 99968)"
13,5.08,"(13.70638604353393, 13702, 99968)"
14,4.77,"(15.096830985915492, 15092, 99968)"
15,4.32,"(15.35891485275288, 15354, 99968)"
16,7.75,"(16.65532970550576, 16650, 99968)"
17,5.6,"(16.976432458386682, 16971, 99968)"
18,6.1,"(18.03377080665813, 18028, 99968)"
19,7.66,"(17.916733354673497, 17911, 99968)"
20,7.81,"(18.696983034571062, 18691, 99968)"
21,10.88,"(18.492917733674776, 18487, 99968)"
22,8.47,"(19.339188540332906, 19333, 99968)"
23,6.62,"(19.458226632522408, 19452, 99968)"
24,5.83,"(19.576264404609475, 19570, 99968)"
25,7.37,"(20.30149647887324, 20295, 99968)"
26,8.84,"(20.666613316261202, 20660, 99968)"
27,8.53,"(21.37884122919334, 21372, 99968)"
28,9.17,"(21.843990076824586, 21837, 99968)"
29,11.22,"(22.2931338028169, 22286, 99968)"
30,6.32,"(22.669254161331626, 22662, 99968)"
31,8.94,"(23.00536171574904, 22998, 99968)"
32,9.59,"(23.255441741357235, 23248, 99968)"
33,7.65,"(23.598551536491676, 23591, 99968)"
34,9.16,"(23.9776728553137, 23970, 99968)"
35,13.68,"(23.9776728553137, 23970, 99968)"
36,11.94,"(24.42381562099872, 24416, 99968)"
37,11.52,"(24.90296895006402, 24895, 99968)"
38,10.72,"(25.382122279129323, 25374, 99968)"
39,11.71,"(25.743237836107554, 25735, 99968)"
40,9.92,"(25.757242317541614, 25749, 99968)"
41,11.51,"(26.329425416133162, 26321, 99968)"
42,9.9,"(26.36043533930858, 26352, 99968)"
43,8.7,"(26.975632202304737, 26967, 99968)"
44,13.02,"(27.076664532650447, 27068, 99968)"
45,13.29,"(27.73287451984635, 27724, 99968)"
46,14.32,"(27.57082266325224, 27562, 99968)"
47,13.65,"(28.130001600512163, 28121, 99968)"
48,15.53,"(28.93125800256082, 28922, 99968)"
49,14.51,"(29.048295454545453, 29039, 99968)"
50,13.57,"(29.596470870678615, 29587, 99968)"
51,11.2,"(29.929577464788732, 29920, 99968)"
52,16.63,"(30.14064500640205, 30131, 99968)"
53,15.97,"(30.692821702944943, 30683, 99968)"
54,17.36,"(31.435059218950062, 31425, 99968)"
55,14.76,"(31.75816261203585, 31748, 99968)"
56,18.31,"(32.014244558258646, 32004, 99968)"
57,16.99,"(32.78849231754161, 32778, 99968)"
58,20.68,"(33.27764884763124, 33267, 99968)"
59,17.91,"(33.318661971830984, 33308, 99968)"
60,17.95,"(34.4390204865557, 34428, 99968)"
61,16.14,"(34.75512163892446, 34744, 99968)"
62,23.12,"(34.99019686299616, 34979, 99968)"
63,22.32,"(35.25028008962868, 35239, 99968)"
64,24.67,"(36.195582586427655, 36184, 99968)"
65,21.01,"(36.17457586427657, 36163, 99968)"
66,22.11,"(37.0208466709347, 37009, 99968)"
67,27.37,"(37.285931498079385, 37274, 99968)"
68,27.59,"(37.98015364916773, 37968, 99968)"
69,25.57,"(38.34126920614597, 38329, 99968)"
70,25.12,"(39.19254161331626, 39180, 99968)"
71,23.27,"(39.939780729833544, 39927, 99968)"
72,25.07,"(40.13584346991037, 40123, 99968)"
73,28.37,"(40.74003681177977, 40727, 99968)"
74,30.8,"(41.3512323943662, 41338, 99968)"
75,24.45,"(19.707306338028168, 19701, 99968)"
76,24.37,"(19.761323623559537, 19755, 99968)"
77,24.64,"(19.692301536491676, 19686, 99968)"
78,23.72,"(19.674295774647888, 19668, 99968)"
79,24.31,"(19.75432138284251, 19748, 99968)"
80,23.78,"(19.75432138284251, 19748, 99968)"
81,24.16,"(19.674295774647888, 19668, 99968)"
82,24.02,"(19.59927176696543, 19593, 99968)"
83,24.58,"(19.75432138284251, 19748, 99968)"
84,24.72,"(19.868357874519845, 19862, 99968)"
85,23.5,"(19.51324423815621, 19507, 99968)"
86,24.04,"(19.716309218950062, 19710, 99968)"
87,23.83,"(19.63528329065301, 19629, 99968)"
88,24.26,"(19.694302176696542, 19688, 99968)"
89,23.96,"(19.622279129321385, 19616, 99968)"
90,24.26,"(19.756322023047375, 19750, 99968)"
91,24.63,"(19.777328745198464, 19771, 99968)"
92,23.75,"(19.799335787451984, 19793, 99968)"
93,23.65,"(19.888364276568502, 19882, 99968)"
94,24.84,"(19.850352112676056, 19844, 99968)"
95,8.13,"(6.334026888604353, 6332, 99968)"
96,8.0,"(6.406049935979514, 6404, 99968)"
97,7.61,"(6.450064020486556, 6448, 99968)"
98,8.2,"(6.273007362355954, 6271, 99968)"
99,8.16,"(6.5190861075544175, 6517, 99968)"
