Epoch,flops
0,982811799552
1,1965623599104
2,2948435398656
3,3931247198208
4,4914058997760
5,5896870797312
6,6879682596864
7,7862494396416
8,8845306195968
9,9828117995520
10,10810929795072
11,11793741594624
12,12776553394176
13,13759365193728
14,14742176993280
15,15724988792832
16,16707800592384
17,17690612391936
18,18673424191488
19,19656235991040
20,20639047790592
21,21621859590144
22,22604671389696
23,23587483189248
24,24570294988800
25,25553106788352
26,26535918587904
27,27518730387456
28,28501542187008
29,29484353986560
30,30467165786112
31,31449977585664
32,32432789385216
33,33415601184768
34,34398412984320
35,35381224783872
36,36364036583424
37,37346848382976
38,38329660182528
39,39312471982080
40,40295283781632
41,41278095581184
42,42260907380736
43,43243719180288
44,44226530979840
45,45209342779392
46,46192154578944
47,47174966378496
48,48157778178048
49,49140589977600
50,50123401777152
51,51106213576704
52,52089025376256
53,53071837175808
54,54054648975360
55,55037460774912
56,56020272574464
57,57003084374016
58,57985896173568
59,58968707973120
60,59951519772672
61,60934331572224
62,61917143371776
63,62899955171328
64,63882766970880
65,64865578770432
66,65848390569984
67,66831202369536
68,67814014169088
69,68796825968640
70,69779637768192
71,70762449567744
72,71745261367296
73,72728073166848
74,73710884966400
75,75961729265664
76,78212573564928
77,80463417864192
78,82714262163456
79,84965106462720
80,87215950761984
81,89466795061248
82,91717639360512
83,93968483659776
84,96219327959040
85,98470172258304
86,100721016557568
87,102971860856832
88,105222705156096
89,107473549455360
90,109724393754624
91,111975238053888
92,114226082353152
93,116476926652416
94,118727770951680
95,125051762626560
96,131375754301440
97,137699745976320
98,144023737651200
99,150347729326080
