Epoch,test accuracy,training accuracy
0,55.53,"(48.266, 24133, 50000)"
1,65.83,"(63.998, 31999, 50000)"
2,71.01,"(69.726, 34863, 50000)"
3,70.44,"(72.388, 36194, 50000)"
4,71.51,"(73.872, 36936, 50000)"
5,72.69,"(74.874, 37437, 50000)"
6,72.59,"(75.762, 37881, 50000)"
7,74.81,"(76.198, 38099, 50000)"
8,74.22,"(77.046, 38523, 50000)"
9,75.24,"(77.18, 38590, 50000)"
10,72.84,"(77.528, 38764, 50000)"
11,75.73,"(77.73, 38865, 50000)"
12,68.37,"(78.106, 39053, 50000)"
13,70.54,"(78.22, 39110, 50000)"
14,72.96,"(78.674, 39337, 50000)"
15,76.09,"(78.716, 39358, 50000)"
16,75.95,"(78.992, 39496, 50000)"
17,75.8,"(79.028, 39514, 50000)"
18,75.74,"(79.23, 39615, 50000)"
19,74.75,"(78.998, 39499, 50000)"
20,74.89,"(79.346, 39673, 50000)"
21,78.7,"(79.644, 39822, 50000)"
22,69.46,"(79.652, 39826, 50000)"
23,77.39,"(79.492, 39746, 50000)"
24,77.43,"(79.754, 39877, 50000)"
25,74.16,"(79.826, 39913, 50000)"
26,77.86,"(79.84, 39920, 50000)"
27,72.95,"(80.054, 40027, 50000)"
28,76.96,"(80.024, 40012, 50000)"
29,74.98,"(80.172, 40086, 50000)"
30,72.76,"(80.138, 40069, 50000)"
31,74.64,"(80.268, 40134, 50000)"
32,75.72,"(79.94, 39970, 50000)"
33,77.5,"(80.716, 40358, 50000)"
34,70.28,"(80.49, 40245, 50000)"
35,78.36,"(80.582, 40291, 50000)"
36,78.67,"(80.762, 40381, 50000)"
37,72.83,"(80.898, 40449, 50000)"
38,69.34,"(80.924, 40462, 50000)"
39,76.54,"(80.91, 40455, 50000)"
40,71.62,"(80.874, 40437, 50000)"
41,71.77,"(81.2, 40600, 50000)"
42,79.07,"(80.98, 40490, 50000)"
43,77.99,"(80.766, 40383, 50000)"
44,77.49,"(81.348, 40674, 50000)"
45,76.13,"(80.912, 40456, 50000)"
46,74.66,"(81.126, 40563, 50000)"
47,73.12,"(81.22, 40610, 50000)"
48,76.45,"(81.168, 40584, 50000)"
49,75.92,"(81.268, 40634, 50000)"
50,77.55,"(81.434, 40717, 50000)"
51,75.51,"(81.746, 40873, 50000)"
52,78.48,"(81.396, 40698, 50000)"
53,80.17,"(81.52, 40760, 50000)"
54,77.41,"(81.584, 40792, 50000)"
55,78.5,"(81.81, 40905, 50000)"
56,78.12,"(81.804, 40902, 50000)"
57,79.1,"(81.558, 40779, 50000)"
58,77.05,"(81.834, 40917, 50000)"
59,74.67,"(81.906, 40953, 50000)"
60,71.78,"(82.042, 41021, 50000)"
61,79.12,"(81.894, 40947, 50000)"
62,76.81,"(82.148, 41074, 50000)"
63,78.62,"(82.162, 41081, 50000)"
64,76.4,"(82.398, 41199, 50000)"
65,78.13,"(82.038, 41019, 50000)"
66,76.98,"(82.284, 41142, 50000)"
67,79.71,"(82.262, 41131, 50000)"
68,78.7,"(82.452, 41226, 50000)"
69,79.49,"(82.682, 41341, 50000)"
70,78.57,"(82.708, 41354, 50000)"
71,76.82,"(82.682, 41341, 50000)"
72,78.9,"(82.838, 41419, 50000)"
73,78.14,"(82.912, 41456, 50000)"
74,78.04,"(82.784, 41392, 50000)"
75,76.75,"(83.228, 41614, 50000)"
76,77.75,"(83.016, 41508, 50000)"
77,78.89,"(83.18, 41590, 50000)"
78,78.14,"(83.148, 41574, 50000)"
79,79.86,"(83.492, 41746, 50000)"
80,77.75,"(83.334, 41667, 50000)"
81,81.03,"(83.44, 41720, 50000)"
82,78.82,"(83.918, 41959, 50000)"
83,77.23,"(83.538, 41769, 50000)"
84,79.12,"(83.706, 41853, 50000)"
85,75.28,"(83.99, 41995, 50000)"
86,77.41,"(83.914, 41957, 50000)"
87,81.81,"(84.042, 42021, 50000)"
88,79.36,"(83.96, 41980, 50000)"
89,78.96,"(83.95, 41975, 50000)"
90,80.18,"(84.122, 42061, 50000)"
91,76.93,"(84.528, 42264, 50000)"
92,80.93,"(84.392, 42196, 50000)"
93,71.56,"(84.588, 42294, 50000)"
94,79.51,"(84.544, 42272, 50000)"
95,78.28,"(84.568, 42284, 50000)"
96,79.24,"(84.678, 42339, 50000)"
97,82.16,"(84.562, 42281, 50000)"
98,80.89,"(84.96, 42480, 50000)"
99,79.38,"(85.05, 42525, 50000)"
100,81.31,"(85.266, 42633, 50000)"
101,77.24,"(85.142, 42571, 50000)"
102,81.49,"(85.25, 42625, 50000)"
103,80.9,"(85.336, 42668, 50000)"
104,80.15,"(85.806, 42903, 50000)"
105,80.84,"(85.54, 42770, 50000)"
106,81.93,"(85.756, 42878, 50000)"
107,83.68,"(85.76, 42880, 50000)"
108,78.33,"(85.868, 42934, 50000)"
109,81.84,"(86.052, 43026, 50000)"
110,81.05,"(86.056, 43028, 50000)"
111,79.48,"(86.19, 43095, 50000)"
112,82.66,"(86.308, 43154, 50000)"
113,80.99,"(86.35, 43175, 50000)"
114,81.15,"(86.34, 43170, 50000)"
115,82.95,"(86.562, 43281, 50000)"
116,81.45,"(86.716, 43358, 50000)"
117,80.74,"(87.188, 43594, 50000)"
118,80.99,"(86.774, 43387, 50000)"
119,82.44,"(87.134, 43567, 50000)"
120,83.02,"(87.142, 43571, 50000)"
121,83.53,"(87.37, 43685, 50000)"
122,81.58,"(87.434, 43717, 50000)"
123,83.18,"(87.636, 43818, 50000)"
124,82.8,"(87.754, 43877, 50000)"
125,84.46,"(87.694, 43847, 50000)"
126,82.04,"(88.012, 44006, 50000)"
