PR,Sigma,P value (greater than),Diff with mean (det-sto),Det performance
0.8,0.001,0.05687020468115324,-0.3200000000000003,42.07
0.8,0.003,0.9009982721239272,0.4549999999999983,42.07
0.8,0.005,0.9993297730831652,3.2149999999999963,42.07
0.85,0.001,0.8024196491549039,0.10999999999999943,26.67
0.85,0.003,0.9880459129788095,1.2899999999999991,26.67
0.85,0.005,0.9999977505894135,4.274999999999999,26.67
0.9,0.001,0.6857233678390362,0.09500000000000064,9.89
0.9,0.003,0.9797461758655427,0.45500000000000185,9.89
0.9,0.005,0.9996431427391036,1.4400000000000013,9.89
0.95,0.001,0.052070410480430276,-0.135,1.99
0.95,0.003,0.9552490777618963,0.24,1.99
0.95,0.005,0.9999491217054415,0.5850000000000002,1.99
