PR,Sigma,P value (greater than),Diff with mean (det-sto),Det performance
0.8,0.001,0.9731333614116716,0.060000000000016485,92.01
0.8,0.003,0.999988576689742,0.5450000000000017,92.01
0.8,0.005,0.9999999266474249,1.4450000000000074,92.01
0.85,0.001,0.006637938732287069,-0.08499999999999375,91.48
0.85,0.003,0.9999993714566213,0.3649999999999949,91.48
0.85,0.005,0.9999999949552649,1.335000000000008,91.48
0.9,0.001,0.08749635759622397,-0.12000000000000455,89.88
0.9,0.003,0.9292191402757601,0.10499999999998977,89.88
0.9,0.005,0.99998977554432,2.3799999999999955,89.88
0.95,0.001,0.7743693037078632,0.7150000000000034,60.13
0.95,0.003,9.212464059112233e-07,-6.579999999999991,60.13
0.95,0.005,0.005107930928508234,-4.4099999999999895,60.13
