PR,Sigma,P value (greater than),Diff with mean (det-sto),Det performance
0.8,0.001,0.946538114483751,0.35999999999999943,44.89
0.8,0.003,0.7558931925538794,0.015000000000000568,44.89
0.8,0.005,0.9999985052928273,3.039999999999999,44.89
0.85,0.001,0.2667659925600766,-0.22500000000000142,31.04
0.85,0.003,0.02461348535555443,-0.5950000000000024,31.04
0.85,0.005,0.9989577274896634,1.884999999999998,31.04
0.9,0.001,0.9626953992266699,0.5800000000000001,10.23
0.9,0.003,0.6659439455781295,0.015000000000000568,10.23
0.9,0.005,0.4169001261441926,-0.254999999999999,10.23
0.95,0.001,0.004951400941687631,-0.12,0.65
0.95,0.003,0.00032493300487142755,-0.4199999999999998,0.65
0.95,0.005,3.5453887879419544e-05,-0.42500000000000016,0.65
