PR,Sigma,P value (greater than),Diff with mean (det-sto),Det performance
0.8,0.001,0.713776449534546,0.13999999999999702,18.7
0.8,0.003,0.008302766293750668,-1.5599999999999987,18.7
0.8,0.005,0.6122915551441781,-0.23500000000000298,18.7
0.85,0.001,0.34909796161220863,-0.3050000000000006,5.72
0.85,0.003,0.3879882230248748,0.20999999999999996,5.72
0.85,0.005,0.7897769442733864,0.45999999999999996,5.72
0.9,0.001,0.9893686742578207,0.2849999999999999,1.16
0.9,0.003,0.6820312836064786,0.20999999999999996,1.16
0.9,0.005,0.2186535577357766,-0.07499999999999996,1.16
0.95,0.001,0.1484849667597839,0.0,0.5
0.95,0.003,0.07678500654100649,-0.03500000000000003,0.5
0.95,0.005,0.06758703248251179,-0.0050000000000000044,0.5
