PR,Sigma,P value (greater than),Diff with mean (det-sto),Det performance
0.8,0.001,0.9999924541761358,0.2150000000000034,86.0
0.8,0.003,0.9999999938273706,2.7249999999999943,86.0
0.8,0.005,0.9999997053018267,17.939999999999998,86.0
0.85,0.001,0.9999972916708071,0.2150000000000034,86.0
0.85,0.003,0.9999999983886282,5.284999999999997,86.0
0.85,0.005,0.9999999997306239,41.150000000000006,86.0
0.9,0.001,0.9999999955077689,0.5100000000000051,85.98
0.9,0.003,0.9999999994239818,12.950000000000003,85.98
0.9,0.005,0.9999999999999997,61.365,85.98
0.95,0.001,0.99381727956868,0.17500000000001137,83.75
0.95,0.003,0.9999999999962514,46.97,83.75
0.95,0.005,0.9999999999999883,66.39500000000001,83.75
