Name,N Shallow layer index,N Shallow layer name,Dense Accuracy,Pruned Accuracy
resnet50_normal_tiny_imagenet_seed_2_rf_level_4_test_acc_56.49.pth,51,layer4.2.conv2,56.49,56.08
resnet50_normal_tiny_imagenet_seed_0_rf_level_4_test_acc_56.61.pth,49,layer4.1.conv3,56.61,54.24
resnet50_normal_tiny_imagenet_seed_0_rf_level_4_32_bs_test_acc_50.43.pth,45,layer4.0.conv3,50.43,47.76
resnet50_normal_tiny_imagenet_seed_3_rf_level_4_test_acc_56.68.pth,48,layer4.1.conv2,56.68,54.49
resnet50_normal_tiny_imagenet_seed_1_rf_level_4_test_acc_56.81.pth,48,layer4.1.conv2,56.81,53.88
resnet50_normal_tiny_imagenet_seed_4_rf_level_4_test_acc_56.08.pth,49,layer4.1.conv3,56.08,54.33
resnet50_normal_tiny_imagenet_seed_4_rf_level_4_32_bs_test_acc_51.13.pth,45,layer4.0.conv3,51.13,48.75
resnet50_normal_tiny_imagenet_seed_3_rf_level_4_32_bs_test_acc_50.35.pth,45,layer4.0.conv3,50.35,48.62
resnet50_normal_tiny_imagenet_seed_1_rf_level_4_32_bs_test_acc_50.27.pth,45,layer4.0.conv3,50.27,47.95
resnet50_normal_tiny_imagenet_seed_2_rf_level_4_32_bs_test_acc_51.75.pth,45,layer4.0.conv3,51.75,49.71
