layer_names,pr
conv1,tensor(0.)
layer1.0.conv1,tensor(7.9631e-05)
layer1.0.conv2,tensor(0.0007)
layer1.0.conv3,tensor(0.0003)
layer1.0.shortcut.0,tensor(0.0003)
layer1.1.conv1,tensor(0.0003)
layer1.1.conv2,tensor(0.0007)
layer1.1.conv3,tensor(0.0003)
layer1.2.conv1,tensor(0.0002)
layer1.2.conv2,tensor(0.0006)
layer1.2.conv3,tensor(0.0003)
layer2.0.conv1,tensor(0.0005)
layer2.0.conv2,tensor(0.0027)
layer2.0.conv3,tensor(0.0009)
layer2.0.shortcut.0,tensor(0.0023)
layer2.1.conv1,tensor(0.0013)
layer2.1.conv2,tensor(0.0025)
layer2.1.conv3,tensor(0.0009)
layer2.2.conv1,tensor(0.0010)
layer2.2.conv2,tensor(0.0021)
layer2.2.conv3,tensor(0.0009)
layer2.3.conv1,tensor(0.0008)
layer2.3.conv2,tensor(0.0021)
layer2.3.conv3,tensor(0.0012)
layer3.0.conv1,tensor(0.0017)
layer3.0.conv2,tensor(0.0132)
layer3.0.conv3,tensor(0.0061)
layer3.0.shortcut.0,tensor(0.0159)
layer3.1.conv1,tensor(0.0080)
layer3.1.conv2,tensor(0.0157)
layer3.1.conv3,tensor(0.0074)
layer3.2.conv1,tensor(0.0098)
layer3.2.conv2,tensor(0.0230)
layer3.2.conv3,tensor(0.0101)
layer3.3.conv1,tensor(0.0099)
layer3.3.conv2,tensor(0.0239)
layer3.3.conv3,tensor(0.0107)
layer3.4.conv1,tensor(0.0099)
layer3.4.conv2,tensor(0.0242)
layer3.4.conv3,tensor(0.0108)
layer3.5.conv1,tensor(0.0102)
layer3.5.conv2,tensor(0.0245)
layer3.5.conv3,tensor(0.0109)
layer4.0.conv1,tensor(0.0188)
layer4.0.conv2,tensor(0.0984)
layer4.0.conv3,tensor(0.0436)
layer4.0.shortcut.0,tensor(0.0884)
layer4.1.conv1,tensor(0.0445)
layer4.1.conv2,tensor(0.1003)
layer4.1.conv3,tensor(0.0445)
layer4.2.conv1,tensor(0.0446)
layer4.2.conv2,tensor(0.1003)
layer4.2.conv3,tensor(0.0445)
linear,tensor(0.)
