Model,Level,Receptive field,dataset,dense test accuracy,Pruned test accuracy
resnet50,1,110,cifar10,95.26,82.31
resnet50,1,110,cifar10,94.93,52.4
resnet50,2,213,cifar10,94.07,92.06
resnet50,2,213,cifar10,94.03,92.2
resnet50,3,318,cifar10,92.38,91.61
resnet50,3,318,cifar10,92.25,90.65
resnet50,4,423,cifar10,90.66,90.44
resnet50,4,423,cifar10,90.8,90.73
resnet50,1,110,cifar10,94.65,60.97
resnet50,1,110,cifar10,94.92,60.09
resnet50,1,110,cifar10,94.5,24.66
resnet50,2,213,cifar10,93.93,90.06
resnet50,2,213,cifar10,94.3,92.52
resnet50,2,213,cifar10,93.86,92.07
resnet50,3,318,cifar10,92.27,91.33
resnet50,3,318,cifar10,91.95,91.74
resnet50,3,318,cifar10,92.43,91.69
resnet50,4,423,cifar10,90.04,89.75
resnet50,4,423,cifar10,90.37,90.26
resnet50,4,423,cifar10,90.27,90.03
vgg19,1,181,cifar10,93.65,10
vgg19,1,181,cifar10,93.42,10
vgg19,1,181,cifar10,93.61,10
vgg19,1,181,cifar10,93.55,14.55
vgg19,1,181,cifar10,93.39,10
vgg19,2,359,cifar10,91.26,48.08
vgg19,2,359,cifar10,91.51,10
vgg19,2,359,cifar10,90.94,30.85
vgg19,2,359,cifar10,91.05,26.4
vgg19,2,359,cifar10,91.01,46.75
vgg19,3,537,cifar10,88.18,88.06
vgg19,3,537,cifar10,87.7,87.23
vgg19,3,537,cifar10,87.81,87.76
vgg19,3,537,cifar10,87.95,87.78
vgg19,3,537,cifar10,87.75,87.66
vgg19,4,715,cifar10,85.98,85.84
vgg19,4,715,cifar10,85.82,85.8
vgg19,4,715,cifar10,86.08,86.01
vgg19,4,715,cifar10,85.53,85.43
vgg19,4,715,cifar10,85.99,85.94
