Epsilon,Population,Type,Pruning Rate,sigma
0.6500000000000057,10,Stochastic GMP,0.5,0.001
0.7600000000000051,10,Stochastic GMP,0.5,0.001
0.39000000000000057,10,Stochastic GMP,0.5,0.001
0.5900000000000034,10,Stochastic GMP,0.5,0.001
0.5700000000000074,10,Stochastic GMP,0.5,0.001
0.45000000000000284,10,Stochastic GMP,0.5,0.001
0.5300000000000011,10,Stochastic GMP,0.5,0.001
0.28000000000000114,10,Stochastic GMP,0.5,0.001
0.28000000000000114,10,Stochastic GMP,0.5,0.001
0.37000000000000455,10,Stochastic GMP,0.5,0.001
0.519999999999996,10,Sto. mask original weights,0.5,0.001
0.18000000000000682,10,Sto. mask original weights,0.5,0.001
0.480000000000004,10,Sto. mask original weights,0.5,0.001
0.4200000000000017,10,Sto. mask original weights,0.5,0.001
0.25,10,Sto. mask original weights,0.5,0.001
0.519999999999996,10,Sto. mask original weights,0.5,0.001
0.4300000000000068,10,Sto. mask original weights,0.5,0.001
0.3200000000000074,10,Sto. mask original weights,0.5,0.001
0.4000000000000057,10,Sto. mask original weights,0.5,0.001
0.3299999999999983,10,Sto. mask original weights,0.5,0.001
0.6500000000000057,10,Det. mask sto. weights,0.5,0.001
0.6800000000000068,10,Det. mask sto. weights,0.5,0.001
0.45000000000000284,10,Det. mask sto. weights,0.5,0.001
0.6099999999999994,10,Det. mask sto. weights,0.5,0.001
0.6599999999999966,10,Det. mask sto. weights,0.5,0.001
0.4200000000000017,10,Det. mask sto. weights,0.5,0.001
0.6200000000000045,10,Det. mask sto. weights,0.5,0.001
0.5300000000000011,10,Det. mask sto. weights,0.5,0.001
0.45000000000000284,10,Det. mask sto. weights,0.5,0.001
0.5900000000000034,10,Det. mask sto. weights,0.5,0.001
10.400000000000006,10,Stochastic GMP,0.8,0.001
9.019999999999996,10,Stochastic GMP,0.8,0.001
10.030000000000001,10,Stochastic GMP,0.8,0.001
9.469999999999999,10,Stochastic GMP,0.8,0.001
9.650000000000006,10,Stochastic GMP,0.8,0.001
9.980000000000004,10,Stochastic GMP,0.8,0.001
9.400000000000006,10,Stochastic GMP,0.8,0.001
9.969999999999999,10,Stochastic GMP,0.8,0.001
9.620000000000005,10,Stochastic GMP,0.8,0.001
10.180000000000007,10,Stochastic GMP,0.8,0.001
10.280000000000001,10,Sto. mask original weights,0.8,0.001
9.540000000000006,10,Sto. mask original weights,0.8,0.001
9.960000000000008,10,Sto. mask original weights,0.8,0.001
9.840000000000003,10,Sto. mask original weights,0.8,0.001
9.740000000000009,10,Sto. mask original weights,0.8,0.001
10.620000000000005,10,Sto. mask original weights,0.8,0.001
