Epsilon,Population,Type,Pruning Rate,sigma
0.1799999999999926,10,Stochastic GMP,0.72,0.001
0.23999999999999488,10,Stochastic GMP,0.72,0.001
0.21999999999999886,10,Stochastic GMP,0.72,0.001
0.09999999999999432,10,Stochastic GMP,0.72,0.001
0.1700000000000017,10,Stochastic GMP,0.72,0.001
0.14999999999999147,10,Stochastic GMP,0.72,0.001
0.1599999999999966,10,Stochastic GMP,0.72,0.001
0.21999999999999886,10,Stochastic GMP,0.72,0.001
0.1700000000000017,10,Stochastic GMP,0.72,0.001
0.11999999999999034,10,Stochastic GMP,0.72,0.001
0.3299999999999983,10,Sto. mask original weights,0.72,0.001
0.3199999999999932,10,Sto. mask original weights,0.72,0.001
0.3100000000000023,10,Sto. mask original weights,0.72,0.001
0.35999999999999943,10,Sto. mask original weights,0.72,0.001
0.3199999999999932,10,Sto. mask original weights,0.72,0.001
0.2599999999999909,10,Sto. mask original weights,0.72,0.001
0.3299999999999983,10,Sto. mask original weights,0.72,0.001
0.3199999999999932,10,Sto. mask original weights,0.72,0.001
0.25,10,Sto. mask original weights,0.72,0.001
0.35999999999999943,10,Sto. mask original weights,0.72,0.001
0.11999999999999034,10,Det. mask sto. weights,0.72,0.001
0.1599999999999966,10,Det. mask sto. weights,0.72,0.001
0.0799999999999983,10,Det. mask sto. weights,0.72,0.001
0.0,10,Det. mask sto. weights,0.72,0.001
0.1599999999999966,10,Det. mask sto. weights,0.72,0.001
0.01999999999999602,10,Det. mask sto. weights,0.72,0.001
0.060000000000002274,10,Det. mask sto. weights,0.72,0.001
0.10999999999999943,10,Det. mask sto. weights,0.72,0.001
0.06999999999999318,10,Det. mask sto. weights,0.72,0.001
0.09000000000000341,10,Det. mask sto. weights,0.72,0.001
1.0999999999999943,10,Stochastic GMP,0.88,0.001
1.0600000000000023,10,Stochastic GMP,0.88,0.001
1.0600000000000023,10,Stochastic GMP,0.88,0.001
0.9899999999999949,10,Stochastic GMP,0.88,0.001
1.0900000000000034,10,Stochastic GMP,0.88,0.001
0.9899999999999949,10,Stochastic GMP,0.88,0.001
0.9500000000000028,10,Stochastic GMP,0.88,0.001
0.9799999999999898,10,Stochastic GMP,0.88,0.001
1.2000000000000028,10,Stochastic GMP,0.88,0.001
1.1700000000000017,10,Stochastic GMP,0.88,0.001
2.280000000000001,10,Sto. mask original weights,0.88,0.001
2.530000000000001,10,Sto. mask original weights,0.88,0.001
2.719999999999999,10,Sto. mask original weights,0.88,0.001
2.269999999999996,10,Sto. mask original weights,0.88,0.001
2.239999999999995,10,Sto. mask original weights,0.88,0.001
2.509999999999991,10,Sto. mask original weights,0.88,0.001
2.5600000000000023,10,Sto. mask original weights,0.88,0.001
2.539999999999992,10,Sto. mask original weights,0.88,0.001
3.0900000000000034,10,Sto. mask original weights,0.88,0.001
2.8699999999999903,10,Sto. mask original weights,0.88,0.001
0.9599999999999937,10,Det. mask sto. weights,0.88,0.001
0.9299999999999926,10,Det. mask sto. weights,0.88,0.001
0.9599999999999937,10,Det. mask sto. weights,0.88,0.001
0.8900000000000006,10,Det. mask sto. weights,0.88,0.001
0.9299999999999926,10,Det. mask sto. weights,0.88,0.001
0.9099999999999966,10,Det. mask sto. weights,0.88,0.001
0.9799999999999898,10,Det. mask sto. weights,0.88,0.001
0.8299999999999983,10,Det. mask sto. weights,0.88,0.001
1.0300000000000011,10,Det. mask sto. weights,0.88,0.001
0.9899999999999949,10,Det. mask sto. weights,0.88,0.001
74.38,10,Stochastic GMP,0.94,0.001
74.22,10,Stochastic GMP,0.94,0.001
74.28,10,Stochastic GMP,0.94,0.001
