Epsilon,Population,Type,Pruning Rate,sigma
0.0,10,Stochastic GMP,0.5,0.001
0.010000000000005116,10,Stochastic GMP,0.5,0.001
-0.030000000000001137,10,Stochastic GMP,0.5,0.001
0.030000000000001137,10,Stochastic GMP,0.5,0.001
-0.01999999999999602,10,Stochastic GMP,0.5,0.001
0.010000000000005116,10,Stochastic GMP,0.5,0.001
0.01999999999999602,10,Stochastic GMP,0.5,0.001
0.030000000000001137,10,Stochastic GMP,0.5,0.001
-0.01999999999999602,10,Stochastic GMP,0.5,0.001
0.01999999999999602,10,Stochastic GMP,0.5,0.001
0.0,10,Sto. mask original weights,0.5,0.001
0.0,10,Sto. mask original weights,0.5,0.001
0.0,10,Sto. mask original weights,0.5,0.001
0.0,10,Sto. mask original weights,0.5,0.001
0.0,10,Sto. mask original weights,0.5,0.001
0.0,10,Sto. mask original weights,0.5,0.001
0.0,10,Sto. mask original weights,0.5,0.001
0.0,10,Sto. mask original weights,0.5,0.001
0.0,10,Sto. mask original weights,0.5,0.001
0.0,10,Sto. mask original weights,0.5,0.001
-0.010000000000005116,10,Det. mask sto. weights,0.5,0.001
0.0,10,Det. mask sto. weights,0.5,0.001
-0.030000000000001137,10,Det. mask sto. weights,0.5,0.001
-0.010000000000005116,10,Det. mask sto. weights,0.5,0.001
-0.010000000000005116,10,Det. mask sto. weights,0.5,0.001
-0.01999999999999602,10,Det. mask sto. weights,0.5,0.001
-0.010000000000005116,10,Det. mask sto. weights,0.5,0.001
-0.01999999999999602,10,Det. mask sto. weights,0.5,0.001
-0.010000000000005116,10,Det. mask sto. weights,0.5,0.001
0.010000000000005116,10,Det. mask sto. weights,0.5,0.001
26.03,10,Stochastic GMP,0.8,0.001
25.239999999999995,10,Stochastic GMP,0.8,0.001
25.14999999999999,10,Stochastic GMP,0.8,0.001
26.86,10,Stochastic GMP,0.8,0.001
26.53,10,Stochastic GMP,0.8,0.001
25.939999999999998,10,Stochastic GMP,0.8,0.001
25.200000000000003,10,Stochastic GMP,0.8,0.001
25.849999999999994,10,Stochastic GMP,0.8,0.001
26.730000000000004,10,Stochastic GMP,0.8,0.001
24.349999999999994,10,Stochastic GMP,0.8,0.001
0.0,10,Sto. mask original weights,0.8,0.001
0.0,10,Sto. mask original weights,0.8,0.001
0.0,10,Sto. mask original weights,0.8,0.001
0.0,10,Sto. mask original weights,0.8,0.001
0.0,10,Sto. mask original weights,0.8,0.001
0.0,10,Sto. mask original weights,0.8,0.001
0.0,10,Sto. mask original weights,0.8,0.001
0.0,10,Sto. mask original weights,0.8,0.001
0.0,10,Sto. mask original weights,0.8,0.001
0.0,10,Sto. mask original weights,0.8,0.001
-0.04000000000000625,10,Det. mask sto. weights,0.8,0.001
-0.010000000000005116,10,Det. mask sto. weights,0.8,0.001
0.010000000000005116,10,Det. mask sto. weights,0.8,0.001
-0.010000000000005116,10,Det. mask sto. weights,0.8,0.001
-0.030000000000001137,10,Det. mask sto. weights,0.8,0.001
0.010000000000005116,10,Det. mask sto. weights,0.8,0.001
-0.010000000000005116,10,Det. mask sto. weights,0.8,0.001
-0.030000000000001137,10,Det. mask sto. weights,0.8,0.001
-0.04000000000000625,10,Det. mask sto. weights,0.8,0.001
-0.030000000000001137,10,Det. mask sto. weights,0.8,0.001
76.5,10,Stochastic GMP,0.9,0.001
74.07,10,Stochastic GMP,0.9,0.001
76.13,10,Stochastic GMP,0.9,0.001
75.96,10,Stochastic GMP,0.9,0.001
76.82,10,Stochastic GMP,0.9,0.001
75.25,10,Stochastic GMP,0.9,0.001
74.4,10,Stochastic GMP,0.9,0.001
75.21,10,Stochastic GMP,0.9,0.001
76.03,10,Stochastic GMP,0.9,0.001
74.22,10,Stochastic GMP,0.9,0.001
0.0,10,Sto. mask original weights,0.9,0.001
0.0,10,Sto. mask original weights,0.9,0.001
0.0,10,Sto. mask original weights,0.9,0.001
0.0,10,Sto. mask original weights,0.9,0.001
0.0,10,Sto. mask original weights,0.9,0.001
0.0,10,Sto. mask original weights,0.9,0.001
0.0,10,Sto. mask original weights,0.9,0.001
0.0,10,Sto. mask original weights,0.9,0.001
0.0,10,Sto. mask original weights,0.9,0.001
0.0,10,Sto. mask original weights,0.9,0.001
-0.010000000000005116,10,Det. mask sto. weights,0.9,0.001
-0.010000000000005116,10,Det. mask sto. weights,0.9,0.001
0.0,10,Det. mask sto. weights,0.9,0.001
-0.030000000000001137,10,Det. mask sto. weights,0.9,0.001
-0.010000000000005116,10,Det. mask sto. weights,0.9,0.001
-0.01999999999999602,10,Det. mask sto. weights,0.9,0.001
-0.010000000000005116,10,Det. mask sto. weights,0.9,0.001
0.0,10,Det. mask sto. weights,0.9,0.001
0.01999999999999602,10,Det. mask sto. weights,0.9,0.001
0.0,10,Det. mask sto. weights,0.9,0.001
0.010000000000005116,10,Stochastic GMP,0.5,0.003
-0.010000000000005116,10,Stochastic GMP,0.5,0.003
0.060000000000002274,10,Stochastic GMP,0.5,0.003
0.0799999999999983,10,Stochastic GMP,0.5,0.003
0.010000000000005116,10,Stochastic GMP,0.5,0.003
0.01999999999999602,10,Stochastic GMP,0.5,0.003
0.010000000000005116,10,Stochastic GMP,0.5,0.003
0.04999999999999716,10,Stochastic GMP,0.5,0.003
0.0,10,Stochastic GMP,0.5,0.003
-0.010000000000005116,10,Stochastic GMP,0.5,0.003
0.0,10,Sto. mask original weights,0.5,0.003
0.0,10,Sto. mask original weights,0.5,0.003
0.0,10,Sto. mask original weights,0.5,0.003
0.0,10,Sto. mask original weights,0.5,0.003
0.0,10,Sto. mask original weights,0.5,0.003
0.0,10,Sto. mask original weights,0.5,0.003
