,Weight magnitude,Weight magnitude,Weight magnitude
,q25,q50,q75
Layer Name,,,
conv1,1.8301985e-09,5.291181e-06,0.04403419225
layer1.0.conv1,3.5847087750000004e-10,3.9887125e-07,0.0057208905
layer1.0.conv2,0.0019907185749999997,0.0054059676000000004,0.01142510325
layer1.1.conv1,0.00156565775,0.0048477038,0.01121712375
layer1.1.conv2,0.0014188164749999999,0.00424125935,0.011286553
layer2.0.conv1,0.003578442925,0.00791110825,0.0146355955
layer2.0.conv2,0.0034196276,0.007527994200000001,0.013541693875
layer2.0.shortcut.0,0.00501708395,0.011740962,0.02279532025
layer2.1.conv1,0.0016798256750000001,0.0047131675000000005,0.0102565755
layer2.1.conv2,0.0016522408,0.004387889,0.0093290365
layer3.0.conv1,0.003470768,0.007373101,0.01264987825
layer3.0.conv2,0.0031763550500000003,0.0067422448,0.011582088124999999
layer3.0.shortcut.0,0.0044723257500000006,0.009554756000000001,0.016525555749999997
layer3.1.conv1,0.002454551125,0.00559329895,0.009924529750000001
layer3.1.conv2,0.001740588675,0.0040652017500000005,0.00755229775
layer4.0.conv1,0.0018735087500000001,0.0040102060000000005,0.006959913
layer4.0.conv2,0.00100453885,0.0022381910500000003,0.004150907125
layer4.0.shortcut.0,0.002056448875,0.0044140481500000005,0.0078313515
layer4.1.conv1,0.0005702583450000001,0.0013142582499999999,0.0025831738500000003
layer4.1.conv2,0.0003087119975,0.00070782205,0.0013820727499999999
linear,0.03619483825,0.053501848500000004,0.08525325249999999
