layer_names,pr
conv1,0.0
layer1.0.conv1,0.50878906
layer1.0.conv2,0.42759874
layer1.0.conv3,0.16723633
layer1.0.shortcut.0,0.42736816
layer1.1.conv1,0.24871826
layer1.1.conv2,0.19240993
layer1.1.conv3,0.13079834
layer1.2.conv1,0.28936768
layer1.2.conv2,0.5218099
layer1.2.conv3,0.54034424
layer2.0.conv1,0.15588379
layer2.0.conv2,0.24708387
layer2.0.conv3,0.20036316
layer2.0.shortcut.0,0.21324158
layer2.1.conv1,0.31848145
layer2.1.conv2,0.3758613
layer2.1.conv3,0.34181213
layer2.2.conv1,0.25985718
layer2.2.conv2,0.29779732
layer2.2.conv3,0.3612213
layer2.3.conv1,0.20785522
layer2.3.conv2,0.2861396
layer2.3.conv3,0.27986145
layer3.0.conv1,0.14657593
layer3.0.conv2,0.21302456
layer3.0.conv3,0.1711998
layer3.0.shortcut.0,0.24206924
layer3.1.conv1,0.26396942
layer3.1.conv2,0.18349034
layer3.1.conv3,0.15008163
layer3.2.conv1,0.2117424
layer3.2.conv2,0.20573595
layer3.2.conv3,0.17729568
layer3.3.conv1,0.20324326
layer3.3.conv2,0.2522566
layer3.3.conv3,0.23318863
layer3.4.conv1,0.26187897
layer3.4.conv2,0.37894017
layer3.4.conv3,0.39610672
layer3.5.conv1,0.22330856
layer3.5.conv2,0.3886261
layer3.5.conv3,0.4640274
layer4.0.conv1,0.2190113
layer4.0.conv2,0.48071542
layer4.0.conv3,0.5566416
layer4.0.shortcut.0,0.62263584
layer4.1.conv1,0.55770206
layer4.1.conv2,0.48742124
layer4.1.conv3,0.55461025
layer4.2.conv1,0.8750706
layer4.2.conv2,0.9357507
layer4.2.conv3,0.8617058
linear,0.0
