Name,Dense Accuracy,Pruned Accuracy
vgg19_dilation_normal_cifar10_1769452928.5580466_rf_level_180_recording_dilation_100_no_ffcv_test_acc_93.36.pth,93.36,28.31
vgg19_dilation_normal_cifar10_1769452983.2034147_rf_level_180_recording_dilation_100_no_ffcv_test_acc_93.38.pth,93.38,51.86
vgg19_dilation_normal_cifar10_1769452944.657234_rf_level_180_recording_dilation_100_no_ffcv_test_acc_93.47.pth,93.47,29.13
vgg19_dilation_normal_cifar10_1769728777.3385768_rf_level_180_recording_dilation_100_no_ffcv_test_acc_93.17.pth,93.17,55.65
vgg19_dilation_normal_cifar10_1769728777.112193_rf_level_180_recording_dilation_100_no_ffcv_test_acc_92.92.pth,92.92,39.71
vgg19_dilation_normal_cifar10_1769728778.1766236_rf_level_180_recording_dilation_100_no_ffcv_test_acc_93.43.pth,93.43,18.46
vgg19_dilation_normal_cifar10_1769452879.1943483_rf_level_180_recording_dilation_100_no_ffcv_test_acc_93.03.pth,93.03,23.34
vgg19_dilation_normal_cifar10_1769728777.33856_rf_level_180_recording_dilation_100_no_ffcv_test_acc_93.26.pth,93.26,68.11
vgg19_dilation_normal_cifar10_1769453041.1586397_rf_level_180_recording_dilation_100_no_ffcv_test_acc_93.42.pth,93.42,64.27
vgg19_dilation_normal_cifar10_1769728778.18511_rf_level_180_recording_dilation_100_no_ffcv_test_acc_93.17.pth,93.17,58.77
