Name,Dense Accuracy,Pruned Accuracy
vgg19_dilation_normal_tiny_imagenet_1769734753.9029696_rf_level_269_recording_dilation_100_no_ffcv_test_acc_61.41.pth,61.41,46.45
vgg19_dilation_normal_tiny_imagenet_1769455950.024294_rf_level_269_recording_dilation_100_no_ffcv_test_acc_61.41.pth,61.41,48.72
vgg19_dilation_normal_tiny_imagenet_1769740574.6910925_rf_level_269_recording_dilation_100_no_ffcv_test_acc_61.2.pth,61.2,48.24
vgg19_dilation_normal_tiny_imagenet_1769456043.0232186_rf_level_269_recording_dilation_100_no_ffcv_test_acc_60.82.pth,60.82,46.72
vgg19_dilation_normal_tiny_imagenet_1769456464.3768473_rf_level_269_recording_dilation_100_no_ffcv_test_acc_61.13.pth,61.13,46.6
vgg19_dilation_normal_tiny_imagenet_1769733601.6196635_rf_level_269_recording_dilation_100_no_ffcv_test_acc_61.18.pth,61.18,46.13
vgg19_dilation_normal_tiny_imagenet_1769733571.3695183_rf_level_269_recording_dilation_100_no_ffcv_test_acc_61.84.pth,61.84,49.95
vgg19_dilation_normal_tiny_imagenet_1769456845.7097895_rf_level_269_recording_dilation_100_no_ffcv_test_acc_60.98.pth,60.98,49.34
vgg19_dilation_normal_tiny_imagenet_1769455919.1977954_rf_level_269_recording_dilation_100_no_ffcv_test_acc_60.82.pth,60.82,47.44
vgg19_dilation_normal_tiny_imagenet_1769740706.339224_rf_level_269_recording_dilation_100_no_ffcv_test_acc_61.35.pth,61.35,48.37
