PR,Sigma,P value (greater than),Diff with mean (det-sto),Det performance
0.8,0.001,0.00031032977534562183,-1.1500000000000021,31.16
0.8,0.003,7.921617634976996e-06,-4.665000000000003,31.16
0.8,0.005,1.5643941780767713e-05,-4.525000000000002,31.16
0.85,0.001,0.0008714435157354891,-0.8049999999999997,10.84
0.85,0.003,3.561691328325835e-08,-5.219999999999999,10.84
0.85,0.005,1.9234881452892372e-08,-8.970000000000002,10.84
0.9,0.001,0.030703890709619094,-0.06500000000000017,1.91
0.9,0.003,2.7255493292040617e-05,-1.2,1.91
0.9,0.005,0.0001658158970805551,-1.39,1.91
0.95,0.001,0.9914706647875967,0.06999999999999995,0.7
0.95,0.003,0.9997479286429722,0.16999999999999993,0.7
0.95,0.005,0.925516358297632,0.08499999999999996,0.7
