PR,Sigma,P value (greater than),Diff with mean (det-sto),Det performance
0.8,0.001,0.07680292422914244,-0.12000000000000455,90.03
0.8,0.003,0.9999999808311657,2.7049999999999983,90.03
0.8,0.005,0.9999999953844912,13.634999999999991,90.03
0.85,0.001,0.13272145017692044,-0.6500000000000057,77.99
0.85,0.003,0.9998266452870392,6.0,77.99
0.85,0.005,0.9999993130831281,28.489999999999995,77.99
0.9,0.001,0.4249636483888427,-0.16499999999999915,19.35
0.9,0.003,0.9668404332238686,2.0100000000000016,19.35
0.9,0.005,0.9999999999949549,8.750000000000002,19.35
0.95,0.001,,0.0,10.0
0.95,0.003,,0.0,10.0
0.95,0.005,,0.0,10.0
