layer_names,pr
conv1,0.0
layer1.0.conv1,0.9663086
layer1.0.conv2,0.9790039
layer1.0.conv3,0.9121704
layer1.0.shortcut.0,0.8914795
layer1.1.conv1,0.8557129
layer1.1.conv2,0.8322754
layer1.1.conv3,0.7477417
layer1.2.conv1,0.80145264
layer1.2.conv2,0.82261825
layer1.2.conv3,0.79815674
layer2.0.conv1,0.7882385
layer2.0.conv2,0.8242934
layer2.0.conv3,0.78045654
layer2.0.shortcut.0,0.87649536
layer2.1.conv1,0.82489014
layer2.1.conv2,0.77415633
layer2.1.conv3,0.7893524
layer2.2.conv1,0.8396301
layer2.2.conv2,0.8302205
layer2.2.conv3,0.8062744
layer2.3.conv1,0.8959198
layer2.3.conv2,0.92096627
layer2.3.conv3,0.92222595
layer3.0.conv1,0.6313019
layer3.0.conv2,0.7470398
layer3.0.conv3,0.6277275
layer3.0.shortcut.0,0.7889557
layer3.1.conv1,0.80026627
layer3.1.conv2,0.7551727
layer3.1.conv3,0.62631226
layer3.2.conv1,0.5956726
layer3.2.conv2,0.5472972
layer3.2.conv3,0.51348114
layer3.3.conv1,0.5401726
layer3.3.conv2,0.60649276
layer3.3.conv3,0.6558037
layer3.4.conv1,0.68566895
layer3.4.conv2,0.86736214
layer3.4.conv3,0.87615967
layer3.5.conv1,0.75540924
layer3.5.conv2,0.93324447
layer3.5.conv3,0.9407959
layer4.0.conv1,0.84882736
layer4.0.conv2,0.9884597
layer4.0.conv3,0.9870243
layer4.0.shortcut.0,0.9881005
layer4.1.conv1,0.9958744
layer4.1.conv2,0.9982635
layer4.1.conv3,0.99508
layer4.2.conv1,0.99740314
layer4.2.conv2,0.99975586
layer4.2.conv3,0.9972515
linear,0.0
