layer_names,pr
conv1,0.0
layer1.0.conv1,0.9616699
layer1.0.conv2,0.9866265
layer1.0.conv3,0.9696655
layer1.0.shortcut.0,0.88757324
layer1.1.conv1,1.0
layer1.1.conv2,1.0
layer1.1.conv3,1.0
layer1.2.conv1,1.0
layer1.2.conv2,1.0
layer1.2.conv3,1.0
layer2.0.conv1,0.99246216
layer2.0.conv2,0.9988132
layer2.0.conv3,0.9682312
layer2.0.shortcut.0,0.818985
layer2.1.conv1,0.9691467
layer2.1.conv2,0.97993976
layer2.1.conv3,0.87049866
layer2.2.conv1,0.7808533
layer2.2.conv2,0.7283461
layer2.2.conv3,0.80336
layer2.3.conv1,0.7752075
layer2.3.conv2,0.73642987
layer2.3.conv3,0.8235321
layer3.0.conv1,0.6660843
layer3.0.conv2,0.5895233
layer3.0.conv3,0.7251091
layer3.0.shortcut.0,0.7947216
layer3.1.conv1,0.80752945
layer3.1.conv2,0.81552124
layer3.1.conv3,0.8401222
layer3.2.conv1,0.78061676
layer3.2.conv2,0.7984246
layer3.2.conv3,0.77851105
layer3.3.conv1,0.62942505
layer3.3.conv2,0.5706143
layer3.3.conv3,0.52999496
layer3.4.conv1,0.56137466
layer3.4.conv2,0.4857483
layer3.4.conv3,0.53635025
layer3.5.conv1,0.5269356
layer3.5.conv2,0.5341034
layer3.5.conv3,0.5950928
layer4.0.conv1,0.3506508
layer4.0.conv2,0.46844482
layer4.0.conv3,0.43318748
layer4.0.shortcut.0,0.61781216
layer4.1.conv1,0.37080193
layer4.1.conv2,0.27753025
layer4.1.conv3,0.3362646
layer4.2.conv1,0.26630592
layer4.2.conv2,0.271261
layer4.2.conv3,0.43858624
linear,0.0
