PR,Sigma,P value (greater than),Diff with mean (det-sto),Det performance
0.8,0.001,0.001651515993017268,-0.7400000000000002,12.82
0.8,0.003,6.3320646724267e-07,-4.274999999999999,12.82
0.8,0.005,7.098784324592428e-05,-4.350000000000001,12.82
0.85,0.001,0.0007175868270727948,-0.395,2.06
0.85,0.003,1.8254017004520867e-05,-2.0749999999999997,2.06
0.85,0.005,7.625260801700183e-05,-2.5450000000000004,2.06
0.9,0.001,0.03518486466161943,-0.06499999999999995,0.56
0.9,0.003,0.012224668031074878,-0.10999999999999988,0.56
0.9,0.005,0.013417027683567093,-0.125,0.56
0.95,0.001,0.08503843732588427,0.0,0.5
0.95,0.003,0.0684520627903759,-0.0050000000000000044,0.5
0.95,0.005,0.08594259060881677,-0.010000000000000009,0.5
