layer_names,pr
maxpool.logit.conv,0.7993164
maxpool.logit.bn,0.359375
conv1,0.0
layer1.0.conv1,0.6530762
layer1.0.conv2,0.6734212
layer1.0.conv3,0.5709839
layer1.0.shortcut.0,0.51727295
layer1.1.conv1,0.8482666
layer1.1.conv2,0.91224504
layer1.1.conv3,0.782959
layer1.2.conv1,0.5722656
layer1.2.conv2,0.67960614
layer1.2.conv3,0.6260376
layer2.0.conv1,0.62280273
layer2.0.conv2,0.7064141
layer2.0.conv3,0.61257935
layer2.0.shortcut.0,0.5892868
layer2.1.conv1,0.54397583
layer2.1.conv2,0.396186
layer2.1.conv3,0.43130493
layer2.2.conv1,0.5140381
layer2.2.conv2,0.50217694
layer2.2.conv3,0.45864868
layer2.3.conv1,0.39259338
layer2.3.conv2,0.5183309
layer2.3.conv3,0.6180115
layer3.0.conv1,0.39531708
layer3.0.conv2,0.5887536
layer3.0.conv3,0.50187683
layer3.0.shortcut.0,0.56127167
layer3.1.conv1,0.74331284
layer3.1.conv2,0.7140062
layer3.1.conv3,0.67606735
layer3.2.conv1,0.695549
layer3.2.conv2,0.7077162
layer3.2.conv3,0.7140579
layer3.3.conv1,0.6151924
layer3.3.conv2,0.6220008
layer3.3.conv3,0.64814377
layer3.4.conv1,0.66383743
layer3.4.conv2,0.74690247
layer3.4.conv3,0.7634659
layer3.5.conv1,0.56103516
layer3.5.conv2,0.64186096
layer3.5.conv3,0.73218155
layer4.0.conv1,0.59879875
layer4.0.conv2,0.7985615
layer4.0.conv3,0.7813053
layer4.0.shortcut.0,0.8204851
layer4.1.conv1,0.8349867
layer4.1.conv2,0.7421638
layer4.1.conv3,0.7689352
layer4.2.conv1,0.608387
layer4.2.conv2,0.56590736
layer4.2.conv3,0.79521847
linear,0.0
