layer_names,pr
conv1,0.0
layer1.0.conv1,0.59814453
layer1.0.conv2,0.6179199
layer1.0.conv3,0.4874878
layer1.0.shortcut.0,0.47009277
layer1.1.conv1,0.5545654
layer1.1.conv2,0.59681535
layer1.1.conv3,0.40020752
layer1.2.conv1,0.3887329
layer1.2.conv2,0.5585395
layer1.2.conv3,0.36846924
layer2.0.conv1,0.20996094
layer2.0.conv2,0.38260227
layer2.0.conv3,0.31251526
layer2.0.shortcut.0,0.20509338
layer2.1.conv1,0.35401917
layer2.1.conv2,0.44359672
layer2.1.conv3,0.35005188
layer2.2.conv1,0.30160522
layer2.2.conv2,0.40401882
layer2.2.conv3,0.35832214
layer2.3.conv1,0.28152466
layer2.3.conv2,0.35932076
layer2.3.conv3,0.33673096
layer3.0.conv1,0.25725555
layer3.0.conv2,0.5061171
layer3.0.conv3,0.54958725
layer3.0.shortcut.0,0.5363617
layer3.1.conv1,0.85198593
layer3.1.conv2,0.9714372
layer3.1.conv3,0.9554329
layer3.2.conv1,0.80539703
layer3.2.conv2,0.94687057
layer3.2.conv3,0.9339256
layer3.3.conv1,0.91228485
layer3.3.conv2,0.99057347
layer3.3.conv3,0.9962692
layer3.4.conv1,0.9015732
layer3.4.conv2,0.9861416
layer3.4.conv3,0.9898033
layer3.5.conv1,0.9302826
layer3.5.conv2,0.9923248
layer3.5.conv3,0.99459076
layer4.0.conv1,0.80379295
layer4.0.conv2,0.9547284
layer4.0.conv3,0.9186878
layer4.0.shortcut.0,0.9308677
layer4.1.conv1,0.99834156
layer4.1.conv2,0.9998813
layer4.1.conv3,0.9999199
layer4.2.conv1,1.0
layer4.2.conv2,1.0
layer4.2.conv3,1.0
linear,0.0
