layer_names,pr
conv1,0.0
layer1.0.conv1,0.72998047
layer1.0.conv2,0.8371311
layer1.0.conv3,0.883667
layer1.0.shortcut.0,0.6902466
layer1.1.conv1,0.7484741
layer1.1.conv2,0.72772896
layer1.1.conv3,0.72979736
layer1.2.conv1,0.63323975
layer1.2.conv2,0.6486274
layer1.2.conv3,0.6531372
layer2.0.conv1,0.47799683
layer2.0.conv2,0.5335354
layer2.0.conv3,0.44337463
layer2.0.shortcut.0,0.5916748
layer2.1.conv1,0.630188
layer2.1.conv2,0.6137763
layer2.1.conv3,0.5938873
layer2.2.conv1,0.4651184
layer2.2.conv2,0.44247776
layer2.2.conv3,0.43605042
layer2.3.conv1,0.40940857
layer2.3.conv2,0.41967094
layer2.3.conv3,0.45954895
layer3.0.conv1,0.4178238
layer3.0.conv2,0.6039395
layer3.0.conv3,0.56176376
layer3.0.shortcut.0,0.74656105
layer3.1.conv1,0.7806473
layer3.1.conv2,0.7017381
layer3.1.conv3,0.6519661
layer3.2.conv1,0.6879921
layer3.2.conv2,0.6705916
layer3.2.conv3,0.7200546
layer3.3.conv1,0.75362015
layer3.3.conv2,0.803833
layer3.3.conv3,0.8360748
layer3.4.conv1,0.89577484
layer3.4.conv2,0.96839905
layer3.4.conv3,0.9631462
layer3.5.conv1,0.90633774
layer3.5.conv2,0.97490096
layer3.5.conv3,0.97338104
layer4.0.conv1,0.8883152
layer4.0.conv2,0.9876785
layer4.0.conv3,0.98678684
layer4.0.shortcut.0,0.98648167
layer4.1.conv1,0.99950314
layer4.1.conv2,0.999897
layer4.1.conv3,0.9990902
layer4.2.conv1,0.9995756
layer4.2.conv2,0.99996483
layer4.2.conv3,0.99949837
linear,0.0
