layer_names,pr
conv1,0.0
layer1.0.conv1,0.49243164
layer1.0.conv2,0.5043674
layer1.0.conv3,0.47332764
layer1.0.shortcut.0,0.45910645
layer1.1.conv1,0.5203247
layer1.1.conv2,0.53830296
layer1.1.conv3,0.46270752
layer1.2.conv1,0.5675049
layer1.2.conv2,0.5922309
layer1.2.conv3,0.28619385
layer2.0.conv1,0.35195923
layer2.0.conv2,0.4294298
layer2.0.conv3,0.32426453
layer2.0.shortcut.0,0.30485535
layer2.1.conv1,0.53302
layer2.1.conv2,0.599684
layer2.1.conv3,0.49058533
layer2.2.conv1,0.2572937
layer2.2.conv2,0.23395453
layer2.2.conv3,0.19985962
layer2.3.conv1,0.18443298
layer2.3.conv2,0.18563503
layer2.3.conv3,0.17774963
layer3.0.conv1,0.14691162
layer3.0.conv2,0.211753
layer3.0.conv3,0.1712532
layer3.0.shortcut.0,0.27753258
layer3.1.conv1,0.28712463
layer3.1.conv2,0.2396291
layer3.1.conv3,0.22092056
layer3.2.conv1,0.31776047
layer3.2.conv2,0.38890415
layer3.2.conv3,0.41548538
layer3.3.conv1,0.4353981
layer3.3.conv2,0.5914018
layer3.3.conv3,0.6254158
layer3.4.conv1,0.21427917
layer3.4.conv2,0.24621922
layer3.4.conv3,0.3206482
layer3.5.conv1,0.30723572
layer3.5.conv2,0.4895596
layer3.5.conv3,0.60943985
layer4.0.conv1,0.4037285
layer4.0.conv2,0.77547455
layer4.0.conv3,0.835824
layer4.0.shortcut.0,0.8252077
layer4.1.conv1,0.96912575
layer4.1.conv2,0.9827508
layer4.1.conv3,0.9709339
layer4.2.conv1,0.989213
layer4.2.conv2,0.9966931
layer4.2.conv3,0.9871006
linear,0.0
