,layer_name,n,sparsity,variance_entropy,variance_entropy_norm,variance_entropy_clean,variance_entropy_clean_norm,orthogonality,solution_name
0,conv1,192.0,0.34375,0.8075060248374939,0.8592490679435589,0.8072474598884583,0.8664470459299909,0.8247479200363159,/home/luisaam/Documents/PhD/data/second_order_models_for_filter_quality_lr_0.1_momentum_0.9/resnet50_normal_cifar10_rf_level_1_lr_0.1_momentum_0.9_ekfac_200_res_32_gc_0_1747311933.479934_test_acc_94.42.pth
1,layer1.0.conv2,4096.0,0.350341796875,0.8124670386314392,0.8542702230046679,0.8123782277107239,0.8543296228607404,0.8636584877967834,/home/luisaam/Documents/PhD/data/second_order_models_for_filter_quality_lr_0.1_momentum_0.9/resnet50_normal_cifar10_rf_level_1_lr_0.1_momentum_0.9_ekfac_200_res_32_gc_0_1747311933.479934_test_acc_94.42.pth
2,layer1.1.conv2,4096.0,0.540283203125,0.791903018951416,0.8326481400860588,0.791793942451477,0.8328778838479372,0.786281168460846,/home/luisaam/Documents/PhD/data/second_order_models_for_filter_quality_lr_0.1_momentum_0.9/resnet50_normal_cifar10_rf_level_1_lr_0.1_momentum_0.9_ekfac_200_res_32_gc_0_1747311933.479934_test_acc_94.42.pth
3,layer1.2.conv2,4096.0,0.3525390625,0.8724969029426575,0.9173887535218762,0.8724688291549683,0.917524997661949,0.8367348313331604,/home/luisaam/Documents/PhD/data/second_order_models_for_filter_quality_lr_0.1_momentum_0.9/resnet50_normal_cifar10_rf_level_1_lr_0.1_momentum_0.9_ekfac_200_res_32_gc_0_1747311933.479934_test_acc_94.42.pth
4,layer2.0.conv2,16384.0,0.00140380859375,0.8370645046234131,0.8799559687166606,0.8370646238327026,0.879956159159197,0.8952353000640869,/home/luisaam/Documents/PhD/data/second_order_models_for_filter_quality_lr_0.1_momentum_0.9/resnet50_normal_cifar10_rf_level_1_lr_0.1_momentum_0.9_ekfac_200_res_32_gc_0_1747311933.479934_test_acc_94.42.pth
5,layer2.1.conv2,16384.0,0.0010986328125,0.8318197727203369,0.8744424950035363,0.8318190574645996,0.8744417937281492,0.8353486657142639,/home/luisaam/Documents/PhD/data/second_order_models_for_filter_quality_lr_0.1_momentum_0.9/resnet50_normal_cifar10_rf_level_1_lr_0.1_momentum_0.9_ekfac_200_res_32_gc_0_1747311933.479934_test_acc_94.42.pth
6,layer2.2.conv2,16384.0,0.0078125,0.8866390585899353,0.9320707393446819,0.8866429328918457,0.932075198897563,0.9160950779914856,/home/luisaam/Documents/PhD/data/second_order_models_for_filter_quality_lr_0.1_momentum_0.9/resnet50_normal_cifar10_rf_level_1_lr_0.1_momentum_0.9_ekfac_200_res_32_gc_0_1747311933.479934_test_acc_94.42.pth
7,layer2.3.conv2,16384.0,0.0394287109375,0.9226294755935669,0.9699053173061439,0.9226316809654236,0.9699097431762674,0.9149912595748901,/home/luisaam/Documents/PhD/data/second_order_models_for_filter_quality_lr_0.1_momentum_0.9/resnet50_normal_cifar10_rf_level_1_lr_0.1_momentum_0.9_ekfac_200_res_32_gc_0_1747311933.479934_test_acc_94.42.pth
8,layer3.0.conv2,65536.0,0.0,0.7513566017150879,0.7898294007161027,0.7513566017150879,0.7898294007161027,0.9309417009353638,/home/luisaam/Documents/PhD/data/second_order_models_for_filter_quality_lr_0.1_momentum_0.9/resnet50_normal_cifar10_rf_level_1_lr_0.1_momentum_0.9_ekfac_200_res_32_gc_0_1747311933.479934_test_acc_94.42.pth
9,layer3.1.conv2,65536.0,0.00390625,0.8741073608398438,0.9188655445333584,0.8741077780723572,0.9188660152826158,0.9236695170402527,/home/luisaam/Documents/PhD/data/second_order_models_for_filter_quality_lr_0.1_momentum_0.9/resnet50_normal_cifar10_rf_level_1_lr_0.1_momentum_0.9_ekfac_200_res_32_gc_0_1747311933.479934_test_acc_94.42.pth
10,layer3.2.conv2,65536.0,0.015625,0.9062060117721558,0.9526077891237333,0.9062164425849915,0.9526188891875589,0.928874671459198,/home/luisaam/Documents/PhD/data/second_order_models_for_filter_quality_lr_0.1_momentum_0.9/resnet50_normal_cifar10_rf_level_1_lr_0.1_momentum_0.9_ekfac_200_res_32_gc_0_1747311933.479934_test_acc_94.42.pth
11,layer3.3.conv2,65536.0,0.0155792236328125,0.8989598155021667,0.944990555383679,0.8989686965942383,0.9450000248934012,0.9333643913269043,/home/luisaam/Documents/PhD/data/second_order_models_for_filter_quality_lr_0.1_momentum_0.9/resnet50_normal_cifar10_rf_level_1_lr_0.1_momentum_0.9_ekfac_200_res_32_gc_0_1747311933.479934_test_acc_94.42.pth
12,layer3.4.conv2,65536.0,0.0078125,0.8786532282829285,0.9236441806032495,0.878659188747406,0.9236505112003716,0.9346151351928711,/home/luisaam/Documents/PhD/data/second_order_models_for_filter_quality_lr_0.1_momentum_0.9/resnet50_normal_cifar10_rf_level_1_lr_0.1_momentum_0.9_ekfac_200_res_32_gc_0_1747311933.479934_test_acc_94.42.pth
13,layer3.5.conv2,65536.0,0.00390625,0.8590719103813171,0.9030602121545024,0.8590747117996216,0.9030631886174988,0.936848521232605,/home/luisaam/Documents/PhD/data/second_order_models_for_filter_quality_lr_0.1_momentum_0.9/resnet50_normal_cifar10_rf_level_1_lr_0.1_momentum_0.9_ekfac_200_res_32_gc_0_1747311933.479934_test_acc_94.42.pth
14,layer4.0.conv2,262144.0,0.000576019287109375,0.7075316309928894,0.7437560948389395,0.7075303792953491,0.7437547797042591,0.9066265821456909,/home/luisaam/Documents/PhD/data/second_order_models_for_filter_quality_lr_0.1_momentum_0.9/resnet50_normal_cifar10_rf_level_1_lr_0.1_momentum_0.9_ekfac_200_res_32_gc_0_1747311933.479934_test_acc_94.42.pth
15,layer4.1.conv2,262144.0,0.0331878662109375,0.8306630253791809,0.8731916154987103,0.8306576609611511,0.8731860219358667,0.9054235816001892,/home/luisaam/Documents/PhD/data/second_order_models_for_filter_quality_lr_0.1_momentum_0.9/resnet50_normal_cifar10_rf_level_1_lr_0.1_momentum_0.9_ekfac_200_res_32_gc_0_1747311933.479934_test_acc_94.42.pth
16,layer4.2.conv2,262144.0,0.04524993896484375,0.8575538396835327,0.9014591955728014,0.8575777411460876,0.9014843857304632,0.8962157964706421,/home/luisaam/Documents/PhD/data/second_order_models_for_filter_quality_lr_0.1_momentum_0.9/resnet50_normal_cifar10_rf_level_1_lr_0.1_momentum_0.9_ekfac_200_res_32_gc_0_1747311933.479934_test_acc_94.42.pth
0,conv1,192.0,0.2552083432674408,0.805744469165802,0.8573746360229593,0.805619478225708,0.862019332271511,0.8069618344306946,/home/luisaam/Documents/PhD/data/second_order_models_for_filter_quality_lr_0.1_momentum_0.9/resnet50_normal_cifar10_rf_level_1_lr_0.1_momentum_0.9_ekfac_200_res_32_gc_0_1747311933.696837_test_acc_95.38.pth
1,layer1.0.conv2,4096.0,0.20068359375,0.7522507905960083,0.7909557189179769,0.7524378299713135,0.791216143033134,0.8541589975357056,/home/luisaam/Documents/PhD/data/second_order_models_for_filter_quality_lr_0.1_momentum_0.9/resnet50_normal_cifar10_rf_level_1_lr_0.1_momentum_0.9_ekfac_200_res_32_gc_0_1747311933.696837_test_acc_95.38.pth
