,layer_name,n,sparsity,variance_entropy,variance_entropy_norm,variance_entropy_clean,variance_entropy_clean_norm,orthogonality,solution_name
0,conv1,192.0,0.0,0.818915843963623,0.8713900008257676,0.818915843963623,0.8713900008257676,0.7419867515563965,/home/luisaam/Downloads/resnet_25_small_imagenet/resnet25_small_normal_small_imagenet_1731451265.2232053_rf_level_8_sgd_100_res_224_no_ffcv_test_acc_66.17.pth
1,layer1.0.conv3_3x3,4096.0,0.83251953125,0.7858474850654602,0.8262810358994304,0.7843623161315918,0.8264926107567329,0.7653050422668457,/home/luisaam/Downloads/resnet_25_small_imagenet/resnet25_small_normal_small_imagenet_1731451265.2232053_rf_level_8_sgd_100_res_224_no_ffcv_test_acc_66.17.pth
2,layer2.0.conv3_3x3,16384.0,0.0,0.894340455532074,0.9401667584319324,0.894340455532074,0.9401667584319324,0.930130124092102,/home/luisaam/Downloads/resnet_25_small_imagenet/resnet25_small_normal_small_imagenet_1731451265.2232053_rf_level_8_sgd_100_res_224_no_ffcv_test_acc_66.17.pth
3,layer3.0.conv3_3x3,65536.0,0.0008544921875,0.7388964295387268,0.776731212318729,0.7388924956321716,0.7767270829033484,0.9209451675415039,/home/luisaam/Downloads/resnet_25_small_imagenet/resnet25_small_normal_small_imagenet_1731451265.2232053_rf_level_8_sgd_100_res_224_no_ffcv_test_acc_66.17.pth
4,layer3.1.conv3_3x3,65536.0,0.0057830810546875,0.8208904266357422,0.8629236666628126,0.8208799362182617,0.8629126838878645,0.92339688539505,/home/luisaam/Downloads/resnet_25_small_imagenet/resnet25_small_normal_small_imagenet_1731451265.2232053_rf_level_8_sgd_100_res_224_no_ffcv_test_acc_66.17.pth
5,layer4.0.conv3_3x3,262144.0,3.814697265625e-06,0.6340291500091553,0.6664904068855695,0.6340292096138,0.6664904695457161,0.9541178941726685,/home/luisaam/Downloads/resnet_25_small_imagenet/resnet25_small_normal_small_imagenet_1731451265.2232053_rf_level_8_sgd_100_res_224_no_ffcv_test_acc_66.17.pth
0,conv1,192.0,0.0,0.8385821580886841,0.8923164850402285,0.8385821580886841,0.8923164850402285,0.7392330765724182,/home/luisaam/Downloads/resnet_25_small_imagenet/resnet25_small_normal_small_imagenet_1731451265.223035_rf_level_8_sgd_100_res_224_no_ffcv_test_acc_67.23.pth
1,layer1.0.conv3_3x3,4096.0,0.063720703125,0.8030803799629211,0.8444006004689268,0.8030412793159485,0.8443775070036742,0.8646296262741089,/home/luisaam/Downloads/resnet_25_small_imagenet/resnet25_small_normal_small_imagenet_1731451265.223035_rf_level_8_sgd_100_res_224_no_ffcv_test_acc_67.23.pth
2,layer2.0.conv3_3x3,16384.0,0.00799560546875,0.8968338370323181,0.942787901630944,0.8968338966369629,0.9427883647177059,0.9252709150314331,/home/luisaam/Downloads/resnet_25_small_imagenet/resnet25_small_normal_small_imagenet_1731451265.223035_rf_level_8_sgd_100_res_224_no_ffcv_test_acc_67.23.pth
3,layer3.0.conv3_3x3,65536.0,0.0002899169921875,0.7534664273262024,0.7920472587800876,0.753464937210083,0.7920456944118816,0.925970733165741,/home/luisaam/Downloads/resnet_25_small_imagenet/resnet25_small_normal_small_imagenet_1731451265.223035_rf_level_8_sgd_100_res_224_no_ffcv_test_acc_67.23.pth
4,layer3.1.conv3_3x3,65536.0,0.0010528564453125,0.8239611983299255,0.8661516755222762,0.823959469795227,0.8661498666212525,0.9230053424835205,/home/luisaam/Downloads/resnet_25_small_imagenet/resnet25_small_normal_small_imagenet_1731451265.223035_rf_level_8_sgd_100_res_224_no_ffcv_test_acc_67.23.pth
5,layer4.0.conv3_3x3,262144.0,1.1444091796875e-05,0.6333988904953003,0.665827879114052,0.6333989500999451,0.6658279417818702,0.954204261302948,/home/luisaam/Downloads/resnet_25_small_imagenet/resnet25_small_normal_small_imagenet_1731451265.223035_rf_level_8_sgd_100_res_224_no_ffcv_test_acc_67.23.pth
0,conv1,192.0,0.015625,0.8388122320175171,0.8925613015528331,0.8387978672981262,0.8927668035660804,0.7428768873214722,/home/luisaam/Downloads/resnet_25_small_imagenet/resnet25_small_normal_small_imagenet_1731451265.2231972_rf_level_8_sgd_100_res_224_no_ffcv_test_acc_66.59.pth
