,layer_name,n,sparsity,variance_entropy,variance_entropy_norm,variance_entropy_clean,variance_entropy_clean_norm,orthogonality,solution_name
0,conv1,192.0,0.5,0.0885518491268158,0.09422603855148627,0.08819475024938583,0.09548187381707438,0.558419942855835,/home/luisaam/Downloads/deep_small_models_resized/resnet25_small_normal_small_imagenet_1731277435.549112_rf_level_6_sgd_100_res_224_no_ffcv_test_acc_47.91.pth
1,layer1.0.conv3_3x3,4096.0,0.984619140625,0.6066617369651794,0.6378757939505026,0.603955864906311,0.6676020839232502,0.7365660667419434,/home/luisaam/Downloads/deep_small_models_resized/resnet25_small_normal_small_imagenet_1731277435.549112_rf_level_6_sgd_100_res_224_no_ffcv_test_acc_47.91.pth
2,layer2.0.conv3_3x3,16384.0,0.3187255859375,0.9205801486968994,0.9677509822165377,0.9203212857246399,0.967504096267416,0.8357338309288025,/home/luisaam/Downloads/deep_small_models_resized/resnet25_small_normal_small_imagenet_1731277435.549112_rf_level_6_sgd_100_res_224_no_ffcv_test_acc_47.91.pth
3,layer3.0.conv3_3x3,65536.0,0.010894775390625,0.8506968021392822,0.8942562611295971,0.850701093673706,0.8942608603876775,0.9038981199264526,/home/luisaam/Downloads/deep_small_models_resized/resnet25_small_normal_small_imagenet_1731277435.549112_rf_level_6_sgd_100_res_224_no_ffcv_test_acc_47.91.pth
4,layer3.1.conv3_3x3,65536.0,0.0261383056640625,0.7941884398460388,0.8348544194160333,0.7941147685050964,0.8347771763319463,0.9194047451019287,/home/luisaam/Downloads/deep_small_models_resized/resnet25_small_normal_small_imagenet_1731277435.549112_rf_level_6_sgd_100_res_224_no_ffcv_test_acc_47.91.pth
5,layer4.0.conv3_3x3,262144.0,0.0,0.6539999842643738,0.687483715234898,0.6539999842643738,0.687483715234898,0.9560500979423523,/home/luisaam/Downloads/deep_small_models_resized/resnet25_small_normal_small_imagenet_1731277435.549112_rf_level_6_sgd_100_res_224_no_ffcv_test_acc_47.91.pth
0,conv1,192.0,0.34375,0.09772269427776337,0.10398452939344899,0.09753930568695068,0.1046923619755934,0.5359065532684326,/home/luisaam/Downloads/deep_small_models_resized/resnet25_small_normal_small_imagenet_1731277435.5491047_rf_level_6_sgd_100_res_224_no_ffcv_test_acc_48.75.pth
1,layer1.0.conv3_3x3,4096.0,0.96728515625,0.6374996304512024,0.6703003636778777,0.6356975436210632,0.6812445594896364,0.7359731197357178,/home/luisaam/Downloads/deep_small_models_resized/resnet25_small_normal_small_imagenet_1731277435.5491047_rf_level_6_sgd_100_res_224_no_ffcv_test_acc_48.75.pth
2,layer2.0.conv3_3x3,16384.0,0.48809814453125,0.8956003785133362,0.9414912402865104,0.8955533504486084,0.9414943258993813,0.8387344479560852,/home/luisaam/Downloads/deep_small_models_resized/resnet25_small_normal_small_imagenet_1731277435.5491047_rf_level_6_sgd_100_res_224_no_ffcv_test_acc_48.75.pth
3,layer3.0.conv3_3x3,65536.0,0.04071044921875,0.8879367709159851,0.9334030818994544,0.8879287242889404,0.9333949785856216,0.9172524213790894,/home/luisaam/Downloads/deep_small_models_resized/resnet25_small_normal_small_imagenet_1731277435.5491047_rf_level_6_sgd_100_res_224_no_ffcv_test_acc_48.75.pth
4,layer3.1.conv3_3x3,65536.0,0.0065765380859375,0.8002427816390991,0.8412187704302226,0.8002288341522217,0.8412041584786653,0.9229387044906616,/home/luisaam/Downloads/deep_small_models_resized/resnet25_small_normal_small_imagenet_1731277435.5491047_rf_level_6_sgd_100_res_224_no_ffcv_test_acc_48.75.pth
5,layer4.0.conv3_3x3,262144.0,0.001956939697265625,0.6743881702423096,0.7089157430334572,0.6743900179862976,0.7089176874797204,0.9563705921173096,/home/luisaam/Downloads/deep_small_models_resized/resnet25_small_normal_small_imagenet_1731277435.5491047_rf_level_6_sgd_100_res_224_no_ffcv_test_acc_48.75.pth
