Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,0,0.7214977741241455,85.36,0.7690849900245667,80.56
0,19192194720.0,0.1015031635761261,99.5,0.13176997005939484,93.36
10,211114141920.0,0.03969375789165497,99.72,0.15424449741840363,93.38
20,403036089120.0,0.04366684705018997,99.66,0.1577058881521225,93.41
30,594958036320.0,0.03302205726504326,99.8,0.16093476116657257,93.45
40,786879983520.0,0.04124116152524948,99.62,0.17976197600364685,93.38
50,978801930720.0,0.03752356022596359,99.74,0.16678735613822937,93.46
60,1170723877920.0,0.03221246600151062,99.62,0.17423661053180695,93.51
70,1362645825120.0,0.036658741533756256,99.74,0.19655881822109222,93.41
80,1554567772320.0,0.0381825752556324,99.78,0.2136431485414505,93.32
90,1746489719520.0,0.029540127143263817,99.8,0.18535402417182922,93.42
100,1938411666720.0,0.0291327852755785,99.82,0.17054954171180725,93.57
101,1938411666720.0,0.030985990539193153,99.8,0.17054954171180725,93.57
