Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,0,17.67314338684082,13.26,18.259859085083008,16.32
0,13659139200.0,5.256075382232666,75.42,5.65437126159668,70.77
10,150250531200.0,4.035227298736572,85.06,6.017330169677734,80.52
20,286841923200.0,3.739706516265869,88.9,6.754378795623779,83.95
30,423433315200.0,3.82802152633667,91.9,5.552548885345459,86.36
40,560024707200.0,3.4342660903930664,93.92,6.3153581619262695,88.36
50,696616099200.0,3.465728998184204,95.42,7.632541656494141,89.2
60,833207491200.0,2.2799432277679443,96.5,4.416406631469727,89.81
70,969798883200.0,3.3435089588165283,97.08,8.419547080993652,89.94
80,1106390275200.0,2.063899278640747,97.58,5.375306606292725,90.49
90,1242981667200.0,2.5164034366607666,98.04,6.9944844245910645,90.69
100,1365913920000.0,2.0355708599090576,98.22,6.280694484710693,90.86
