Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,0,10.464797019958496,46.58,10.523823738098145,50.31
0,19897294080.0,10.002102851867676,58.62,10.011139869689941,61.33
10,218870234880.0,6.447540283203125,96.42,6.155246734619141,90.74
20,417843175680.0,3.56306791305542,95.92,3.4104764461517334,90.64
30,616816116480.0,2.0868635177612305,96.6,3.175947427749634,91.15
40,815789057280.0,1.5271004438400269,97.32,2.5681004524230957,91.77
50,1014761998080.0,1.5106394290924072,97.64,2.5089433193206787,92.11
60,1213734938880.0,1.4365371465682983,97.68,2.5117578506469727,92.36
70,1412707879680.0,1.012365460395813,98.78,2.5763092041015625,92.65
80,1611680820480.0,0.9683204889297485,98.68,2.827432870864868,92.69
90,1810653761280.0,0.7701957821846008,98.8,2.923940896987915,92.82
100,1989729408000.0,0.8000633120536804,99.0,2.712179183959961,92.91
