Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,0,48.097652435302734,61.66,48.34523391723633,56.87
0,18108380640.0,3.40907621383667,99.88,3.6415154933929443,93.21
10,199192187040.0,0.4262785017490387,99.94,1.3366191387176514,93.44
20,380275993440.0,0.26473844051361084,99.96,1.4763164520263672,93.39
30,561359799840.0,0.2027168869972229,100.0,1.3826664686203003,93.44
40,742443606240.0,0.14479251205921173,99.98,1.390476107597351,93.46
50,923527412640.0,0.1574711799621582,99.96,1.5333292484283447,93.43
60,1104611219040.0,0.12293300032615662,99.98,1.5603289604187012,93.5
70,1285695025440.0,0.15200379490852356,99.96,1.4278265237808228,93.41
80,1466778831840.0,0.09421093016862869,99.98,1.5857844352722168,93.49
90,1647862638240.0,0.0978456437587738,99.98,1.5792791843414307,93.42
100,1810838064000.0,0.06780517101287842,100.0,1.5963661670684814,93.46
