Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,0,554.705322265625,10.48,566.6822509765625,10.0
0,12594107520.0,7.610623359680176,13.3,8.647443771362305,13.73
10,138535182720.0,2.83428692817688,16.68,3.6348495483398438,17.72
20,264476257920.0,18.689783096313477,19.4,19.59906005859375,19.97
30,390417333120.0,9.980096817016602,24.64,3.3617444038391113,25.44
40,516358408320.0,23.636974334716797,26.54,34.952659606933594,26.99
50,642299483520.0,34.90357208251953,29.74,9.410782814025879,30.05
60,768240558720.0,49.311092376708984,31.02,12.255867004394531,32.31
70,894181633920.0,65.00703430175781,32.84,42.955814361572266,32.57
80,1020122709120.0,92.70820617675781,33.12,126.01545715332031,30.96
90,1146063784320.0,44.214202880859375,35.28,75.55133056640625,35.22
100,1272004859520.0,109.2444839477539,34.26,56.50065231323242,36.32
110,1397945934720.0,62.976341247558594,37.26,14.125385284423828,39.48
120,1523887009920.0,95.54703521728516,35.94,65.52031707763672,37.04
130,1649828085120.0,25.52589225769043,38.28,27.98055648803711,38.8
140,1775769160320.0,38.21232223510742,36.66,58.6596794128418,36.01
150,1901710235520.0,72.0448226928711,39.86,111.18280029296875,37.42
160,2027651310720.0,80.85418701171875,39.86,30.468387603759766,41.11
170,2153592385920.0,133.11888122558594,39.2,166.6563262939453,37.06
180,2279533461120.0,70.6333236694336,40.88,36.86781311035156,41.3
190,2405474536320.0,58.629207611083984,41.72,44.03351593017578,41.21
200,2518821504000.0,118.34721374511719,41.04,154.34571838378906,39.04
