Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,0,5.705839157104492,10.2,5.56595516204834,10.0
0,9637628640.0,1.3910415172576904,9.86,1.2880377769470215,10.0
10,106013915040.0,0.1602867841720581,10.92,0.6289863586425781,10.0
20,202390201440.0,0.16451111435890198,10.92,0.5556035041809082,10.0
30,298766487840.0,0.15305286645889282,10.92,0.5603681802749634,10.0
40,395142774240.0,0.137436643242836,10.92,0.5577661991119385,10.0
50,491519060640.0,0.11492542922496796,10.92,0.5751513838768005,10.0
60,587895347040.0,0.11062773317098618,10.92,0.5408605337142944,10.0
70,684271633440.0,0.14868663251399994,10.92,0.5628049373626709,10.0
80,780647919840.0,0.13080699741840363,10.92,0.5390425324440002,10.0
90,877024206240.0,0.08317359536886215,10.92,0.48864713311195374,10.0
100,973400492640.0,0.1259458214044571,10.92,0.5019760131835938,10.0
110,1069776779040.0,0.15340447425842285,10.92,0.5924402475357056,10.0
120,1166153065440.0,0.10542446374893188,10.92,0.529859721660614,10.0
130,1262529351840.0,0.04168066009879112,10.92,0.5088173747062683,10.0
140,1358905638240.0,0.1096094623208046,10.92,0.48392388224601746,10.0
150,1455281924640.0,0.13590820133686066,10.92,0.4373941719532013,10.0
160,1551658211040.0,0.133994922041893,10.92,0.5577472448348999,10.0
170,1648034497440.0,0.2727770209312439,10.92,0.5707771182060242,10.0
180,1744410783840.0,0.026053324341773987,10.92,0.4789455533027649,10.0
190,1840787070240.0,0.16151291131973267,10.92,0.4981408715248108,10.04
200,1927525728000.0,0.2109197974205017,10.92,0.6123524904251099,10.0
