Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,0,12.618000984191895,10.18,11.907700538635254,10.0
0,12334694400.0,3.1439614295959473,9.5,5.396641254425049,9.61
10,135681638400.0,3.0482068061828613,13.92,2.4294817447662354,13.85
20,259028582400.0,22.812442779541016,20.44,25.026779174804688,20.41
30,382375526400.0,4.513423919677734,25.8,3.6740963459014893,26.87
40,505722470400.0,17.229576110839844,28.16,11.770827293395996,29.1
50,629069414400.0,6.896507740020752,30.38,5.648130893707275,31.02
60,752416358400.0,39.99161148071289,32.84,31.4216251373291,33.35
70,875763302400.0,133.91197204589844,29.84,133.74191284179688,30.77
80,999110246400.0,19.922073364257812,37.56,17.72966766357422,38.5
90,1122457190400.0,55.27952575683594,37.66,50.537635803222656,38.98
100,1245804134400.0,89.14080047607422,36.5,101.6329116821289,37.02
110,1369151078400.0,8.776248931884766,39.76,22.92759895324707,41.36
120,1492498022400.0,72.09969329833984,39.28,69.84268951416016,40.63
130,1615844966400.0,114.92813110351562,37.54,120.19840240478516,38.36
140,1739191910400.0,32.830772399902344,43.22,53.007728576660156,43.0
150,1862538854400.0,28.699445724487305,42.98,49.538875579833984,43.24
160,1985885798400.0,53.117713928222656,42.74,36.40143585205078,45.21
170,2109232742400.0,49.151512145996094,43.9,38.1730842590332,45.93
180,2232579686400.0,116.92300415039062,41.94,105.99168395996094,43.48
190,2355926630400.0,45.333580017089844,45.16,54.938865661621094,46.59
200,2466938880000.0,55.018150329589844,46.52,43.708160400390625,47.09
