Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy
-1,0,0.9102612137794495,3.990457116742618e-06,78.5,0.8445047736167908,3.4559282084956067e-06,77.8
0,4331471520.0,0.5223190784454346,2.7152032089361455e-06,90.5,0.4594878852367401,2.657659706528648e-06,87.05
10,47646186720.0,0.12941166758537292,5.4874080888112076e-06,96.56,0.15386156737804413,4.600144166033715e-06,91.86
20,90960901920.0,0.132665753364563,6.078341357351746e-06,96.74,0.1490096002817154,4.727151917904848e-06,92.0
30,134275617120.0,0.11187855154275894,5.953010258963332e-06,97.16,0.14316466450691223,5.083254109194968e-06,92.1
40,177590332320.0,0.09382148832082748,6.383122581610223e-06,97.34,0.1262102723121643,6.41655242361594e-06,92.37
50,220905047520.0,0.06806174665689468,7.015501978457905e-06,98.04,0.13320423662662506,7.265803560585482e-06,92.54
60,264219762720.0,0.06300181150436401,8.798054295766633e-06,97.88,0.13235662877559662,7.4092040449613705e-06,92.57
70,307534477920.0,0.06170810014009476,1.0482934158062562e-05,97.76,0.1292436569929123,7.578123131679604e-06,92.58
80,350849193120.0,0.0526190921664238,8.674623131810222e-06,97.74,0.13937638700008392,9.032932211994193e-06,92.65
90,394163908320.0,0.04649340361356735,1.0703524822019972e-05,97.94,0.14019334316253662,1.0276346074533649e-05,92.72
