Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,0,2.457106351852417,10.84,2.4628031253814697,11.29
0,10791682560.0,0.2805955111980438,59.76,0.2859055995941162,60.8
10,118708508160.0,0.37414243817329407,72.36,0.3548840284347534,71.98
20,226625333760.0,0.36282938718795776,76.72,0.5715897083282471,76.37
30,334542159360.0,0.4383239448070526,80.58,0.5159898400306702,79.61
40,442458984960.0,0.25229519605636597,83.54,0.39032799005508423,81.99
50,550375810560.0,0.5915422439575195,84.38,0.6645585298538208,82.75
60,658292636160.0,0.34994587302207947,86.24,0.294639527797699,84.63
70,766209461760.0,0.5082499980926514,87.76,0.5499194860458374,85.11
80,874126287360.0,0.3281555473804474,88.86,0.3265409469604492,86.27
90,982043112960.0,0.7383286952972412,89.02,0.8964056968688965,85.08
100,1089959938560.0,0.5028058886528015,90.0,0.523625910282135,86.76
101,1089959938560.0,0.4980531632900238,90.26,0.523625910282135,86.76
