Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,0,21.06196403503418,79.28,18.978601455688477,77.8
0,17325886080.0,6.394176959991455,97.08,6.641143798828125,90.95
10,190584746880.0,1.7021164894104004,98.18,3.6686110496520996,92.26
20,363843607680.0,1.0512762069702148,98.68,3.4064698219299316,92.44
30,537102468480.0,0.9755011796951294,98.86,3.306588888168335,92.54
40,710361329280.0,0.7436652779579163,98.98,3.338510751724243,92.77
50,883620190080.0,0.9241858720779419,99.22,3.929563522338867,92.88
60,1056879050880.0,0.6043364405632019,99.08,3.968756675720215,92.8
70,1230137911680.0,0.6214247941970825,99.2,3.9859261512756348,92.92
80,1403396772480.0,0.671079695224762,99.4,3.8810219764709473,93.09
90,1576655633280.0,0.60498046875,99.64,4.934835910797119,92.93
100,1732588608000.0,0.7315058708190918,99.5,3.052765130996704,93.15
