Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,0,85.18611145019531,10.48,85.80665588378906,10.37
0,20286664320.0,8.904508590698242,44.04,10.39156436920166,45.92
10,223153307520.0,5.523474216461182,81.2,7.507212162017822,78.77
20,426019950720.0,4.681528568267822,87.86,5.751364707946777,84.57
30,628886593920.0,6.148439407348633,90.92,6.691190242767334,86.54
40,831753237120.0,6.703929424285889,92.66,8.368919372558594,87.21
50,1034619880320.0,7.211101531982422,94.3,9.813976287841797,87.89
60,1237486523520.0,7.08607816696167,94.58,10.387513160705566,88.2
70,1440353166720.0,3.9602556228637695,95.76,7.195494174957275,88.62
80,1643219809920.0,3.4080560207366943,96.74,6.931065559387207,89.0
90,1846086453120.0,4.782310485839844,96.72,8.0911226272583,89.05
100,2048953096320.0,4.4429779052734375,97.14,7.730831623077393,89.05
110,2251819739520.0,3.452132225036621,97.42,6.940983772277832,89.45
120,2454686382720.0,6.622262477874756,97.64,11.336899757385254,89.12
130,2657553025920.0,2.1737711429595947,98.2,5.1919846534729,89.79
140,2860419669120.0,2.832862138748169,98.3,7.846501350402832,89.72
150,3063286312320.0,2.6188807487487793,98.62,6.899180889129639,89.76
160,3266152955520.0,4.7095232009887695,98.4,9.11323070526123,89.61
170,3469019598720.0,3.327777147293091,98.78,10.74582290649414,89.48
180,3671886241920.0,3.1840004920959473,99.06,7.68467903137207,89.68
190,3874752885120.0,2.1741745471954346,99.1,6.837762355804443,89.96
200,4057332864000.0,3.597946882247925,99.0,8.92517375946045,89.8
