Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,0,49.13523483276367,46.12,47.9697265625,43.69
0,11102721120.0,5.687191486358643,91.8,5.985920429229736,84.82
10,122129932320.0,1.6591194868087769,96.58,2.093050003051758,89.81
20,233157143520.0,1.933122158050537,97.74,2.7749998569488525,90.71
30,344184354720.0,0.7729734182357788,98.16,2.1701481342315674,91.17
40,455211565920.0,1.652048945426941,98.42,2.845559597015381,91.33
50,566238777120.0,1.130040168762207,98.66,2.5803005695343018,91.51
60,677265988320.0,0.8461483120918274,99.42,3.0713274478912354,91.79
70,788293199520.0,1.1931126117706299,99.1,2.8869552612304688,91.93
80,899320410720.0,0.7454828023910522,99.38,3.1370997428894043,91.89
90,1010347621920.0,0.6955390572547913,99.5,3.008110761642456,91.96
100,1121374833120.0,0.5823723077774048,99.5,2.7101855278015137,92.04
110,1232402044320.0,0.6525031328201294,99.6,3.274179697036743,92.09
120,1343429255520.0,0.805524468421936,99.68,2.885993719100952,92.03
130,1454456466720.0,0.7503107786178589,99.6,3.117931842803955,92.07
140,1565483677920.0,0.6623480319976807,99.74,3.0370700359344482,92.04
150,1676510889120.0,0.8057759404182434,99.64,3.681990146636963,91.95
160,1787538100320.0,0.42476212978363037,99.74,3.1805713176727295,92.14
170,1898565311520.0,0.3957214057445526,99.86,3.616809844970703,92.2
180,2009592522720.0,0.5208131074905396,99.78,3.8832414150238037,92.19
190,2120619733920.0,0.4190150499343872,99.7,3.060701370239258,92.08
200,2220544224000.0,0.5223278403282166,99.74,3.216777801513672,92.24
