Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,0,86.22921752929688,9.74,85.80665588378906,10.37
0,20286664320.0,8.87185287475586,41.48,10.491915702819824,41.71
10,223153307520.0,8.260075569152832,80.3,7.425715446472168,78.69
20,426019950720.0,3.056680917739868,87.24,5.6212897300720215,84.53
30,628886593920.0,6.613780975341797,89.74,5.813766002655029,86.46
40,831753237120.0,3.458009719848633,91.52,4.804282188415527,87.63
50,1034619880320.0,6.101305961608887,92.66,7.149240970611572,88.07
60,1237486523520.0,7.603084087371826,94.0,8.672294616699219,88.37
70,1440353166720.0,3.426162004470825,94.76,5.947636604309082,88.98
80,1643219809920.0,6.404809951782227,95.72,8.056231498718262,89.2
90,1846086453120.0,3.6382572650909424,96.66,6.239406108856201,89.52
100,2048953096320.0,5.116995334625244,96.48,9.27957820892334,89.31
110,2251819739520.0,5.655947208404541,97.36,10.152406692504883,89.4
120,2454686382720.0,4.168507099151611,97.68,6.9039387702941895,89.58
130,2657553025920.0,6.885742664337158,97.6,10.938315391540527,89.51
140,2860419669120.0,5.379122734069824,98.0,8.779622077941895,89.69
150,3063286312320.0,3.810455560684204,98.1,9.214985847473145,89.85
160,3266152955520.0,6.56626558303833,98.28,11.603047370910645,89.64
170,3469019598720.0,6.255924224853516,98.22,13.628015518188477,89.53
180,3671886241920.0,2.1972224712371826,98.84,9.200258255004883,89.89
190,3874752885120.0,4.447753429412842,98.52,10.596266746520996,89.94
200,4057332864000.0,2.5176424980163574,99.0,6.404795169830322,90.07
