Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,0,50.00213623046875,41.66,48.47518539428711,40.31
0,10228450560.0,8.085198402404785,84.28,6.213153839111328,80.09
10,112512956160.0,1.7727558612823486,94.6,2.6427664756774902,88.64
20,214797461760.0,1.9342987537384033,96.5,2.4404420852661133,89.81
30,317081967360.0,2.859452962875366,97.28,4.4016852378845215,90.25
40,419366472960.0,1.6965926885604858,97.94,2.785717248916626,90.75
50,521650978560.0,2.0081112384796143,98.34,3.3839304447174072,90.93
60,623935484160.0,2.038499116897583,98.76,3.8362326622009277,91.14
70,726219989760.0,1.6500810384750366,98.56,3.5567240715026855,91.33
80,828504495360.0,0.8014252185821533,98.94,2.7672693729400635,91.42
90,930789000960.0,1.4407540559768677,99.22,2.8367137908935547,91.41
100,1033073506560.0,1.1714249849319458,99.12,3.235605478286743,91.43
110,1135358012160.0,1.2775689363479614,99.42,3.547935962677002,91.43
120,1237642517760.0,0.9070478677749634,99.52,3.385004997253418,91.54
130,1339927023360.0,1.0259307622909546,99.46,3.301002025604248,91.47
140,1442211528960.0,0.8683408498764038,99.44,3.427299976348877,91.56
150,1544496034560.0,0.9282076358795166,99.46,4.0167412757873535,91.6
160,1646780540160.0,0.6118429899215698,99.66,3.710207462310791,91.55
170,1749065045760.0,0.7920507788658142,99.66,3.915855884552002,91.6
180,1851349551360.0,0.5987309813499451,99.68,3.5636422634124756,91.58
190,1953634056960.0,0.7123562693595886,99.74,4.823634624481201,91.58
200,2045690112000.0,0.4418811798095703,99.66,3.6410934925079346,91.6
