Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,93677996.0,3.591521739959717,11.76,3.6550068855285645,12.45
0,2904017876.0,2.7864603996276855,16.28,2.8409793376922607,16.01
10,31007416676.0,0.18296757340431213,96.12,0.16546830534934998,91.0
20,59110815476.0,0.200848788022995,96.9,0.18234185874462128,91.44
30,87214214276.0,0.22852453589439392,96.66,0.21096330881118774,91.12
40,115317613076.0,0.25971919298171997,97.04,0.26560014486312866,91.44
50,143421011876.0,0.21234196424484253,97.42,0.2577921450138092,91.91
60,171524410676.0,0.19688110053539276,97.56,0.24548465013504028,91.97
70,199627809476.0,0.18749494850635529,97.76,0.23871363699436188,92.06
80,227731208276.0,0.1303645372390747,98.16,0.18988437950611115,92.22
90,255834607076.0,0.10198687762022018,98.04,0.18828575313091278,92.31
100,283938005876.0,0.09524141252040863,98.24,0.18179216980934143,92.31
101,283938005876.0,0.09441477060317993,98.04,0.18179216980934143,92.31
