Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy
-1,90154480.0,0.5548045635223389,1.0954444178423728e-06,37.38,0.5337568521499634,1.2815198715543374e-06,39.43
0,2794788880.0,0.48983410000801086,1.1234965313633438e-06,43.58,0.46459877490997314,1.2597048453244497e-06,45.55
10,29841132880.0,0.23685725033283234,1.1097363312728703e-06,71.64,0.23558540642261505,1.0676550346033764e-06,72.63
20,56887476880.0,0.22757010161876678,9.247473258255923e-07,73.54,0.2312309443950653,1.0288310932082823e-06,73.65
30,83933820880.0,0.22258059680461884,9.449086064705625e-07,74.82,0.2258431762456894,1.1017855285899714e-06,75.21
40,110980164880.0,0.20003832876682281,1.4586790939574712e-06,77.82,0.21142427623271942,1.5987158121788525e-06,78.05
50,138026508880.0,0.18315525352954865,2.5173956146318233e-06,79.26,0.20810158550739288,2.3139582481235266e-06,79.25
60,165072852880.0,0.18010453879833221,2.4903872599679744e-06,79.66,0.20589572191238403,2.4301371013280004e-06,79.54
70,192119196880.0,0.17879794538021088,2.450449755997397e-06,80.68,0.20238184928894043,2.650427632033825e-06,79.88
80,219165540880.0,0.15872348845005035,4.355355940788286e-06,81.4,0.19713999330997467,3.7801430607942166e-06,80.42
90,246211884880.0,0.1433304399251938,3.992816345999017e-06,82.7,0.1968131959438324,4.712974259746261e-06,81.21
