Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,45862124800.0,8.333404541015625,79.26,8.016275405883789,78.94
0,59620762240.0,7.263993740081787,90.7,7.1132073402404785,86.68
10,197207136640.0,4.851982116699219,95.82,4.858724117279053,90.05
20,334793511040.0,3.349616289138794,95.7,3.370936632156372,89.93
30,472379885440.0,2.312983274459839,95.5,2.667304515838623,90.39
40,609966259840.0,1.850882649421692,96.26,2.4618587493896484,90.92
50,747552634240.0,1.6295710802078247,96.58,2.854653835296631,91.08
60,885139008640.0,1.3435107469558716,97.1,3.577411413192749,91.26
70,1022725383040.0,1.0553139448165894,97.58,2.9323267936706543,91.52
80,1160311757440.0,1.2305268049240112,97.64,3.9320316314697266,91.6
90,1297898131840.0,1.280402660369873,97.94,3.300495147705078,91.83
100,1421725868800.0,1.0136698484420776,98.12,3.691774606704712,92.0
