Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,40921142400.0,46.741302490234375,18.18,45.95075988769531,18.76
0,53194353120.0,6.810616970062256,27.58,7.155096530914307,24.65
10,175926460320.0,4.996924877166748,92.1,5.638285160064697,85.25
20,298658567520.0,2.050158739089966,98.66,5.817477226257324,91.27
30,421390674720.0,1.030576467514038,99.3,3.8848259449005127,92.05
40,544122781920.0,0.9637661576271057,99.62,3.119849920272827,92.31
50,666854889120.0,0.535656213760376,99.66,3.9804186820983887,92.38
60,789586996320.0,0.4200613498687744,99.68,3.3961024284362793,92.49
70,912319103520.0,0.3691329061985016,99.76,3.8372421264648438,92.46
80,1035051210720.0,0.4687621295452118,99.82,4.2343950271606445,92.5
90,1157783317920.0,0.7218829393386841,99.88,5.385168552398682,92.44
100,1268242214400.0,0.4808506965637207,99.92,4.635711669921875,92.52
