Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,44961299200.0,13.13150691986084,31.24,13.940176010131836,33.07
0,58450167040.0,5.0569329261779785,68.14,5.345981597900391,64.51
10,193338845440.0,3.928915500640869,84.14,5.036542892456055,79.53
20,328227523840.0,2.891230583190918,89.02,5.5863800048828125,83.43
30,463116202240.0,2.9340412616729736,92.06,4.693655967712402,86.12
40,598004880640.0,3.186981678009033,94.14,5.4821600914001465,87.91
50,732893559040.0,2.2296407222747803,95.4,3.9317777156829834,89.06
60,867782237440.0,2.5728776454925537,96.06,4.516785144805908,89.49
70,1002670915840.0,1.60502290725708,97.14,4.33915901184082,89.84
80,1137559594240.0,2.835153818130493,97.32,5.9358015060424805,90.12
90,1272448272640.0,1.5601032972335815,97.92,4.7894158363342285,90.4
100,1393848083200.0,2.1299824714660645,98.22,4.837203502655029,90.72
